SOUTHAMPTON-WOOLSTON-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU442110,Long,-1.37273,Lat,50.89715,Elevation,79,ft,,,,,,,,,,,,
Station no,RR4886,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,2.7,6,4.52,2.02,4.55,1.08,6.41,1.49,4.69,1.32,2.27,,,,,,,,
February,,1.41,2.35,2.23,2.21,2.87,2.84,1.4,2.56,4.52,3.6,3.44,,,,,,,,
March,,1.61,2.37,3,0.46,0.83,4,2.59,-999,0.61,0.49,2.7,,,,,,,,
April,,3.95,1.41,1.18,2.83,-999,2.19,3.03,-999,3.1,2.51,0.75,,,,,,,,
May,,0.64,2.08,1.24,1.12,-999,0.22,2.52,3.71,2.83,0.08,1.07,,,,,,,,
June,,2.23,3.01,2.42,2.07,2.95,1.38,0.79,1.81,4.17,2.67,1.91,,,,,,,,
July,,5.05,3.4,2.25,1.04,4.53,0.77,3.01,1.29,4.89,4.1,1.53,,,,,,,,
August,,1.34,1.35,2.65,2.22,-999,4.16,3.12,5.37,6.59,1.12,4.28,,,,,,,,
September,,4.39,1.81,3.05,3.64,-999,3.89,1.83,1.43,3.9,5.64,2.32,,,,,,,,
October,3.42,2.52,6.04,3.15,4.79,5.27,2.68,2.45,3.69,1.28,5.49,1.53,,,,,,,,
November,,0.79,4.31,-999,3.07,4.74,3.54,6.52,2.41,0.58,2.67,4.1,,,,,,,,
December,,2.26,6.02,-999,4.04,1.49,8.09,2.06,1.45,0.39,4.2,3.34,,,,,,,,
Total,,28.89,40.15,29.13,29.51,32.75,34.84,35.73,30.07,37.55,33.89,29.24,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
In Portsmouth Road Now Woolston Lodge Surgery,,,,,,,,,,,,,,,,,,,,
1873 Nov Dec Bracketed Combined value 3.44,,,,,,,,,,,,,,,,,,,,
1875 Apr May Bracketed Combined value 3.02,,,,,,,,,,,,,,,,,,,,
1875 Aug Sept Bracketed Combined value 2.50,,,,,,,,,,,,,,,,,,,,
1878 Mar Apr Bracketed Combined value 4.86,,,,,,,,,,,,,,,,,,,,
