WOODSTOCK INISTOGUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IS6397936437,Long,-7.059028,Lat,52.475917,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,
January,,,,3.59,3.13,5.53,6.28,6.41,2.93,3.21,3.74,8.48,6.63,6.68,5.89,0.09,4.8,2.51,1.16,3.18,6.36,3.22,8.23,2.93,1.35,3.44,5.41,3.83,5.07,7.73,5.62,4.51,6.98,8.5,3.28,9.15,2.67,6.79,2.6,5.05,1.53,3.15,4.17,7.15,5.56,5.02,3.1,4.62,5.18,3.56,6.14,2.18,1.01,2.76,3.05,5.45,1.52,3.79,3.21,6.12,,,,,,3.17,4.08,0.71,1.9,1.23,2.3,1.58,6.42,7.71,0.79,1.91,2.37,2.03,3.89,3.18,4.65,3.98,5.43,2.36,7.38,,,,,,,,,,,,,,
February,,,,1.85,3.89,1.66,3.6,2.27,4.52,1.09,2.42,1.81,2.18,1.4,1.01,0.36,3.33,2.49,0,0.31,1.48,3.15,2.12,0.87,1.62,3.61,2.33,3.55,2.3,2.58,3.7,3.88,6.17,1.76,3.3,2.4,5.43,1.78,3.1,6.32,5.45,5.72,4.26,8.35,7.24,5.76,3.89,0.68,0.81,2.55,1.57,0.38,3.32,2.02,1.66,1.28,2.79,2.14,1.52,4.82,,,,,,1.23,2.56,1.66,1.6,0.85,5.11,2.85,6.25,1.92,4.75,4.39,3.97,1.25,4.6,3.23,1.76,2.77,3.16,9.09,2.03,,,,,,,,,,,,,,
March,,,,2.52,3.85,2.38,4.21,3.61,3.15,1.2,0.81,3.41,2.08,2.86,0.09,2.84,1.77,2.29,3.56,3.04,2.1,3.23,3.41,3.24,1.86,1.94,3.86,2.77,3.34,2.38,3.74,2.24,5.07,3.68,1.51,1.62,3.76,3.09,0.92,1.96,4.82,3.54,2.84,2.1,4.96,3.65,3.51,1.77,3.18,0.96,5.14,1.14,0.78,0.6,1.2,4.58,3.61,5.48,0.49,1.14,,,,,,5.67,3.8,1.12,3.52,3.24,2.43,1.88,4.07,2.58,3.73,0.75,1.13,3.12,1.82,2.48,2.99,3.75,1.46,3.31,1.41,,,,,,,,,,,,,,
April,,,,4.62,1.48,3.38,6.2,2.58,4.06,4.69,6.52,2.27,1.75,2.57,1.19,0.89,3.62,3.82,4.93,3.4,2.01,1.61,3.13,0.83,1.34,1.69,3.02,3.67,3.5,2.73,1.28,5.17,3.85,1.63,2.06,0.96,3.28,6.14,4.18,2.88,4.29,1.72,4.31,3,1.86,4.2,3.14,1.84,2.35,2.16,1.21,2.6,0.65,0.56,4.1,3.3,0.53,4.85,5.51,2.62,,,,,,3.91,1.1,2.45,2.04,5.17,2.58,2.67,1.26,3.82,1.36,1.1,1.66,0.99,1.14,1.13,2.85,0.54,3.45,4.94,2.6,,,,,,,,,,,,,,
May,,,,4.4,0.23,1.5,2.17,6.06,1.64,3.38,0.9,1.4,4.48,1.66,3.16,3.25,4.59,4.44,3.16,0.54,2.8,0,4.22,2.2,0.71,4.86,1.07,4.91,2.98,4.18,2.9,0.74,2.35,2.29,1.78,3.05,0.56,3.6,5.94,1.92,0.83,2.5,3.71,1.64,1.78,2.65,4.12,1.08,3.19,5.13,3.6,4.53,2.9,1.42,2.34,0.72,0.15,2.03,3.03,2.96,,,,,,2.05,3.22,3.88,1.89,2.05,2.19,3.53,1.18,4.04,1.97,1.63,2.6,3.16,2.3,3.28,3.99,1.94,1.15,1.08,3.62,,,,,,,,,,,,,,
June,,,,1.38,3.14,3.52,3.02,1.74,3.21,0.77,1.2,3.04,7.18,3.82,3.46,2.72,1.07,2.8,0.83,0.28,7.09,3.45,4.49,0.55,2.27,0.78,3.1,0.46,1.84,0.49,1.12,3.25,4.68,1.45,1.82,3.07,1.51,2.56,5.32,6.22,2.53,5.11,4.07,1.6,0.67,0.62,0.92,0.17,6.33,1.41,3.04,2.65,2.08,1.42,2.02,1.58,2.48,3.39,4.23,2.86,,,,,,1.57,1.75,3.52,1.95,2.75,3.41,2.46,4.29,1.81,0.62,1.24,2.03,0.77,1.54,2.19,2.34,0.05,1.12,0.58,3.91,,,,,,,,,,,,,,
July,,,,1.95,2.03,4.32,3.39,2.05,2.78,3.56,4.09,1.99,1.9,3.57,3.53,3.84,1.25,1.59,2.57,1.75,3.97,6.25,3.03,2.76,0.99,3.54,1.16,2.28,1.62,2.1,1.04,5.51,2.98,3.93,1.91,4.72,1.65,2.89,1.3,4.3,6.12,2.29,5.82,5.03,3.41,1.54,4.83,1.9,6.58,2.17,2.25,2.64,2.55,1.42,3.84,4.9,5.48,2.11,1.26,3.45,,,,,,1.89,1.08,3.17,3.1,2.62,2.41,3.49,5.02,0.31,3.09,5.62,2.27,1.84,3.51,1.2,6.83,5.19,3.31,1.94,3.35,,,,,,,,,,,,,,
August,,,,4.87,5.28,3.72,5.56,2.32,4.99,3.9,1.45,3.26,4.12,2.66,1.42,4.27,3.58,2.17,1.73,3.47,5.18,3,3.75,1.52,1.81,4.34,2.98,2.58,5.32,1.42,3.33,3.99,4.72,6.17,4.34,2.73,5.03,6.68,3,5.75,1.64,5.04,3.41,3.65,0.69,3.23,2.69,3.08,3.18,5.47,3.31,6.73,4.1,3.65,2.81,8.16,1.29,7.06,4.51,2.39,,,,,,4.74,1.9,2.67,3.25,0.75,6.34,3.5,6.19,0.93,4.57,2.75,2.04,7.02,1.97,2.15,3.43,5.04,4.6,5.04,3.41,,,,,,,,,,,,,,
September,,,,2.7,2.63,3.36,3.21,3.49,2.26,7.1,2.04,1.23,2.43,2.68,1.26,2.22,4.22,1.82,2.98,3.79,2.56,5.36,2.91,3.63,2.79,1.04,5.47,2.36,5,5.74,2.89,3.33,3.91,3.75,3.51,6.65,5.09,3.92,2.63,4.18,3.39,2.97,3.6,5.24,1.95,5.54,4.81,1.58,0.87,0.94,3.09,3.16,2.55,1.12,0.75,1.53,6.25,3.53,2.7,1.51,,,,,,2,1.33,1.49,5.95,3.06,1.11,4.42,0.4,2.61,1.5,1.6,2,1.31,5.32,1.28,0.99,1.35,4.05,3.2,6.23,,,,,,,,,,,,,,
October,,,,5.09,5.74,3.96,7.06,1.55,5.41,4.7,1.61,4.39,3.18,9.04,3.33,5.44,4.83,3.13,2.47,2.16,2.39,2.43,4.24,7.32,4.49,5.04,3.84,4.62,2.78,1.18,6.79,4.81,5.06,3.55,6.34,10.4,7.58,5.07,3.93,1.37,3.91,2.71,4.92,3.07,1.6,4.27,6.82,2.21,3.13,6.01,1.86,5.39,2.64,2.36,4.38,2.31,3.83,4.27,5.7,2.31,,,,,,1.04,3.9,5.46,2.8,7.49,3.92,5.12,1.41,5.87,1.47,4.11,5.58,2.33,3.84,0.33,7.26,3.42,1.12,3.46,3.64,,,,,,,,,,,,,,
