MELTON-MOWBRAY-WALTHAM-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SK801243,Long,-0.81309931,Lat,52.810308,Elevation,560,ft,,,,,,,,,,,,
Station no,RR6633,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,1.85,0.86,1.7,2.76,0.83,2.69,0.94,2.63,1.79,2.42,1.45,,,,,,,,,
February,1.02,1.72,0.5,0.47,1.38,2.52,1.93,1.55,1.48,2.51,1.79,,,,,,,,,
March,1.73,2.62,3.01,0.54,2.76,1.31,1.43,2.22,1.99,2.62,1.56,,,,,,,,,
April,0.6,0.85,1.57,1.25,1.25,0.41,0.92,2.09,1.48,2.15,0.67,,,,,,,,,
May,3.02,2.06,3.01,0.6,1.4,2.88,1.48,2.69,0.62,4.36,0.61,,,,,,,,,
June,3.76,3.96,2.24,2.77,1.2,2.02,2.18,1.7,0.5,1.35,0.79,,,,,,,,,
July,2.44,5.37,1.95,0.62,0.33,2.92,3.92,2.18,0.04,0.98,1.35,,,,,,,,,
August,4.99,0.45,1.83,1.79,0.61,3.27,4.4,2.23,2.94,2.37,1.39,,,,,,,,,
September,3.52,1.97,3,2.4,1.76,0.19,4.17,1.6,3.01,3.21,1.2,,,,,,,,,
October,1.82,1.19,2.72,2.55,1.5,4.46,2.63,1.91,2.5,0.88,3.45,,,,,,,,,
November,2.26,2.76,0.93,2.76,2.01,1.92,1.97,0.64,1.2,2.08,1.48,,,,,,,,,
December,1.61,1.28,1.49,0.88,1.94,0.94,1.95,2.03,5.86,3.91,2.67,,,,,,,,,
Total,28.62,25.09,23.95,19.39,16.97,25.53,27.92,23.47,23.41,28.84,18.41,,,,,,,,,
