"NUNEATON, CALDECOTE HOUSE",,,,,,,,,,
Grid ref,SP353946,Long,-1.4808645,Lat,52.54811,Elevation,260,ft,,
Station no,RR8872,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,0.32,0.62,2.35,3.25,,,,,,
February,2.92,3.9,2.4,3.44,,,,,,
March,1.62,2.32,1.7,1.26,,,,,,
April,1.43,0.66,3.55,1.72,,,,,,
May,1.65,1.25,3.19,1.83,,,,,,
June,3,1.98,4.68,3.02,,,,,,
July,6.31,1.82,4.21,3.78,,,,,,
August,1.56,5,2.16,1.05,,,,,,
September,5.1,1.97,3.9,,,,,,,
October,4.96,3.1,6.07,,,,,,,
November,1.8,2.85,3.83,,,,,,,
December,3.68,3.06,3.9,,,,,,,
Total,34.35,28.53,41.94,,,,,,,
