GRIMSBY - AYLESBY,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA203077,Long,-0.186,Lat,53.552,Elevation,55,ft,,,,,,,,,,,,,
Station no,RR1689,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893
January,2.21,0.97,1.40,1.47,2.51,2.09,0.85,0.22,0.81,2.11,2.50,2.67,2.00,3.24,1.67,0.95,1.45,2.61,2.07,0.94,1.58
February,1.58,1.24,1.25,2.17,2.50,1.19,3.10,1.69,2.39,1.71,3.18,1.19,2.83,0.65,0.41,1.20,2.07,1.47,0.07,2.01,2.62
March,1.86,0.87,0.69,2.60,2.15,0.99,0.87,2.09,2.61,1.42,1.62,1.39,1.36,2.66,1.52,2.63,3.85,1.73,1.40,1.33,0.27
April,0.82,1.01,0.45,2.43,3.06,1.12,2.02,2.07,1.34,4.30,1.39,1.03,1.71,1.95,1.11,1.49,2.71,0.59,1.87,1.38,0.35
May,1.99,1.19,1.41,1.23,1.35,3.22,3.53,1.16,1.11,2.21,1.34,0.71,2.19,3.63,1.92,1.00,3.39,2.52,3.66,2.47,1.04
June,1.10,0.45,3.27,1.64,1.31,2.75,3.35,2.41,1.45,3.07,3.11,0.79,2.94,1.10,0.05,2.04,0.39,2.01,2.25,3.59,1.45
July,2.02,2.62,4.10,1.65,2.88,0.75,3.49,4.52,2.46,2.50,3.43,1.79,0.74,3.22,1.21,6.56,1.42,2.52,2.12,1.72,2.35
August,2.69,2.16,3.17,1.51,3.64,5.72,2.62,1.86,5.11,2.67,1.25,2.55,2.18,1.88,1.25,2.21,3.09,2.50,3.17,1.78,2.32
September,2.13,2.34,2.22,2.82,5.12,2.06,3.01,4.49,2.80,1.91,4.40,1.08,3.89,1.04,1.92,2.03,2.20,0.77,1.10,1.93,1.05
October,3.03,1.76,4.52,1.98,1.54,2.26,1.22,5.95,2.52,4.99,3.25,1.55,6.47,2.49,3.17,0.94,4.59,1.28,4.14,5.15,1.19
November,1.30,3.37,5.27,3.77,1.93,5.18,2.19,3.04,2.47,3.45,3.20,1.72,2.42,2.06,2.36,3.27,0.60,3.32,2.71,1.10,3.54
December,0.40,2.88,1.22,5.43,1.71,2.46,0.97,2.42,2.26,4.99,1.89,2.35,0.88,4.75,1.28,1.74,1.37,0.98,2.98,0.89,2.15
Total,21.13,20.86,28.97,28.70,29.70,29.79,27.22,31.92,27.33,35.33,30.56,18.82,29.61,28.67,17.87,26.06,27.13,22.30,27.54,24.29,19.91
,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/065,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/077,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/204,,,,,,,,,,,,,,,,,,,,,
