CASTLE DOBBS,,,,,,,,,,
Grid ref,IJ443907,Long,-5.7597171,Lat,54.743696,Elevation,233,ft,,
Station no,RR4185,,,,,,,,,
,,,,,,,,,,
,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729
January,,,,,,,2.09,,,
February,,,,,,,2.17,,,
March,,,,,,,1.46,,,
April,,,,,,,1.8,,,
May,,,,,,,4.06,,,
June,,,,,,,4.69,,,
July,,,,,,,2.59,,,
August,,,,,,,2.03,,,
September,,,,,,,7.54,,,
October,,,,,,,2.73,,,
November,,,,,,,3.27,,,
December,,,,,,,3.08,,,
Total,,,,,,,37.51,,,
,,,,,,,,,,
16349,CASTLE DOBBS ,1726-01-01 ,1726-12-31 ,,,,,,,
