POSTBRIDGE-WARREN-HOUSE-INN,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX674808,Long,-3.8751,Lat,50.6124,Elevation,1400,ft,,,,,,,,,,,,,
Station no,1715,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,12.44,16.99,2.8,13.02,7.81,13.96,6.98,8.37,,,,,,
February,,,,,,,,6.79,10.73,4.03,2.44,6.19,0.03,6.2,0.27,,,,,,
March,,,,,,,,9.91,7.59,0.69,4.32,2.93,4.91,8.28,4.43,,,,,,
April,,,,,,,,3.92,3.4,0.74,5.52,4.5,5.52,2.06,4.27,,,,,,
May,,,,,,,,0.68,1.16,,2.82,4.79,5.25,3.43,4.08,,,,,,
June,,,,,,,,4.44,4.94,3.18,1.39,5.23,3.18,2.8,3.36,,,,,,
July,,,,,,,,5.98,3.69,,4.62,6.96,4.9,4.32,0.73,,,,,,
August,,,,,,,,6.08,4.16,3.66,6.92,8.1,2.36,2.95,6.26,,,,,,
September,,,,,,,2.48,7.83,1.52,1.42,8.08,3.01,7.36,1.7,5.51,,,,,,
October,,,,,,,5.2,6.46,9.57,11.64,9.7,1.83,15.42,5.74,7.56,,,,,,
November,,,,,,,13.72,6.79,14.83,22.76,13.09,16.15,5.26,1.88,3.34,,,,,,
December,,,,,,,1.19,5.41,8.62,18.89,7.48,5.16,5.4,2.52,22.88,,,,,,
Total,,,,,,,,76.73,87.2,,79.4,72.66,73.55,48.86,71.06,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Observer is listed as W.W. then C.E. So gauge might not have been at the Inn,,,,,,,,,,,,,,,,,,,,,
Lots of mines around but last one closed around 1930,,,,,,,,,,,,,,,,,,,,,
NGR given at correct altitude within reasonable distance of Inn,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1927 Gauge probably over exposed.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1929 Feb and Dec estimated – at this altitude possibly for snow,,,,,,,,,,,,,,,,,,,,,
1929 May and July estimated,,,,,,,,,,,,,,,,,,,,,
1934 Gauge “abolished” at end of year,,,,,,,,,,,,,,,,,,,,,
