SHOTLEY HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ087527,Long,-1.865,Lat,54.8691,Elevation,315,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,2.36,0.54,2.44,4.54,1.08,1.66,2.75,3.21,3.54,2.85,1.75,1.11,3.96,2.05,1.58,2.34,0.75,5.12,2.7,1.36,0.58,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,2.51,3.98,1.22,0.62,2.19,1.44,3.35,0.55,1.46,1.57,2.06,1.89,2.79,1.95,1.78,1.74,2.6,2.14,1.35,2.6,3.15,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,2.94,2.32,4.27,2.24,3.55,1.25,2.56,3.58,1.98,2.07,1.66,1.3,3.68,2.55,1.35,0.63,2.81,5.04,0.86,1.57,1.02,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,1.17,1.55,0.98,1.15,1.12,1.31,3.64,3.04,3.25,1.6,0.7,2.72,2.95,0.86,1.62,1.28,3.57,5.96,3.45,2.61,2.85,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,1.24,1.19,2.89,1.53,2.08,4,0.81,2.02,0.77,3.96,1.03,1.14,1.55,2.88,2.87,1.26,,2.48,4.4,2.29,2.45,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,4.92,3.64,2.42,4.48,1.18,0.63,2.12,1.35,0.14,1.15,1.58,2.4,2.61,1.8,1.14,2.7,,1.81,2.57,4.42,2.51,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,3.94,4.65,1.84,1.71,0.61,1.9,3.12,3.1,0.72,0.45,0.75,2.91,6.49,1.38,1.64,4.62,,4.78,0.66,3.96,5.64,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,3.19,1.11,2.48,3.1,1.34,3.26,4.1,2.23,2.65,1.29,2.06,0.82,3.55,1.95,2.74,3.06,3.12,8.27,6.73,3.63,2.28,7.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,1.37,2.57,0.81,3.01,1.77,0.21,3.89,2.45,4,3.72,0.88,5.98,3.15,2.02,2.48,3.79,2.91,1.74,1.55,0.62,5.05,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,2.42,1.26,2.22,3.47,8.1,8.39,0.74,0.87,1.13,2.11,4.6,2.54,5.85,1.94,2.08,6.27,1.83,3.26,1.98,0.81,6.96,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
