"KIRRIEMUIR (GLEN DAMFF)",,,,,,,,,,,,
Grid ref,NO256587,Long,-3.217041,Lat,56.714036,,,,,,,
Station no,5586/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.30,2.70,1.30,3.00,2.50,3.20,5.50,4.50,2.40,4.60,,
February,5.80,2.00,1.80,4.50,2.50,2.00,4.70,2.70,0.50,8.10,,
March,2.30,5.50,1.10,5.30,2.40,4.00,3.60,3.20,3.80,3.50,,
April,2.70,2.10,2.70,1.50,1.10,1.00,1.60,1.00,3.40,4.60,,
May,1.90,4.10,3.10,5.60,2.70,1.30,2.70,4.30,1.30,2.70,,
June,2.80,3.10,2.70,2.10,2.00,2.70,2.10,4.20,3.00,2.60,,
July,3.80,3.50,4.20,3.20,1.00,5.20,5.70,4.20,4.90,3.30,,
August,7.00,3.50,2.50,2.50,1.10,6.70,4.40,4.10,1.60,6.30,,
September,3.50,1.30,5.00,3.60,2.20,5.50,2.70,4.70,1.50,4.64,,
October,1.10,6.30,4.20,8.00,3.30,4.00,2.10,4.40,6.00,8.30,,
November,15.50,2.50,4.00,11.00,3.00,1.18,2.00,1.10,8.60,5.80,,
December,4.50,3.20,4.80,5.00,8.50,9.00,5.30,6.70,11.80,4.00,,
Total,55.20,39.80,37.40,55.30,32.30,45.78,42.40,45.10,48.80,58.44,,
Calc annual,55.20,39.80,37.40,55.30,32.30,45.78,42.40,45.10,48.80,58.44,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
