LEEK-RUDYARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ951582,Long,-2.0746704,Lat,53.120951,Elevation,500,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,,,,4.72,1.3,1.51,3.63,4.51,3.46,3.12,2.34,1.36,4.96,2.86,2.78,5.29,2.66,5.18,3.6,3.3,1.28,0.48,2.23,2.5,3.11,2.18,2.39,1,1.4,0.25,2.1,,1.35,1.62,3.67,3.31,2.05,0.86,2.28,2.79,3.27,1.48,2.26,1.51,3.23,1.82,4.44,2.22,,
February,,,,,,,,,,,,,,0.4,3.04,2.74,2.55,2.28,2.02,3.18,1.31,2.98,3.1,0.89,2.78,0.95,4.36,5.09,1.32,3.87,3.62,4.68,1.49,3.19,1.95,2.05,0.4,0.15,0.9,1,0.2,,0.8,3.8,4.19,0.25,2.06,1.93,2.01,0.71,3.44,0.81,1.3,1.52,3.39,1.04,2.76,2.36,,
March,,,,,,,,,,,,,,1.62,2.28,1.37,2.35,1.63,3.72,1.38,1.69,1.05,4.66,2.75,3.29,1.12,3.07,3.03,1.49,2.3,1.87,3.71,1.75,0.2,2,1.41,1.6,0.7,1.2,1.35,1,,0.2,1.06,2.8,4.42,7.43,2.88,1.92,0.8,0.31,2.13,2,2.36,1.09,3.64,2.7,2.14,,
April,,,,,,,,,,,,,,1.45,1.15,1.61,0.73,4.24,1.93,1.94,1.21,2.33,2.65,0.28,1.58,0.76,2.79,2.38,1.23,1.89,1.57,1.15,2.2,1.5,1.7,1.54,1.93,0.22,1.27,2.05,,,1.05,0.68,1.2,2.75,1.59,0.95,1.7,,1.87,2.24,1.57,1.39,2.23,1.82,1.7,1.52,,
May,,,,,,,,,,,,,,1.84,2.69,2.89,1.34,1.07,1.02,3.35,2.14,2.2,2.97,2.29,0.74,1.48,0.4,3.14,4.91,1.56,2.19,2.09,0.9,0.4,1.7,2.2,3.67,1.1,0.51,2.38,0.55,,3.25,2.5,3.4,0.85,0.51,1.91,1.77,2.27,0.74,1.03,3.08,2.02,1.67,0.64,3.35,3.07,,
June,,,,,,,,,,,,,,4.45,2.51,0.83,3.69,1.9,0.33,1.37,1.43,3.45,5.47,2.3,1.12,3.32,2.29,5.05,3.58,6.27,1.94,2.14,5.29,4.45,1.5,2.69,1.09,0.65,3.55,0.6,1.6,,3,2.59,2.86,1.07,3.17,3.09,0.49,1.21,3.52,0.71,1.27,0.76,1.78,0.45,1.4,5.54,,
July,,,,,,,,,,,,,,2.16,1.81,2.45,2.57,3.99,0,0.65,1.03,4.26,5.86,3.77,3.16,5.28,1.29,5.17,1.35,5.68,6.05,2,3.81,2.55,3.37,1.1,2.16,1.1,4.4,2.05,2.79,,2.88,2.87,3.08,4.62,2.25,1.13,0.42,2.43,2.24,1.14,2.05,3.16,1.9,2.54,0.55,3.99,,
August,,,,,,,,,,,,,,4.27,2.04,6.12,4.41,2.06,3.97,2.74,2.18,2.35,2.7,3.68,3.64,2.77,1.93,5.44,4.66,7.08,2.08,4.99,3.85,0.8,2.06,1.3,0.9,1.05,2.9,3.25,2.96,,3.51,1.72,4.4,2.46,3.79,3.42,1.71,1.7,3.42,2.2,3.18,2.04,3.04,3.19,2.3,4.14,,
September,,,,,,,,,,,,,,5.02,3.86,0.23,5.88,4.04,2.04,5.98,2.5,4.93,4.8,2.45,2.43,3.22,5.02,3.34,5.39,2.82,1.46,1.42,1.85,5.11,2.55,4.75,1.86,4.05,0.8,2.65,,,3.09,3.21,0.24,0.74,5.68,5.93,0,3.6,0.43,0.66,1.59,3.49,1.32,1.52,1.32,0.8,,
October,,,,,,,,,,,,,,5.23,1.73,4.31,2.59,4.82,4.41,2.51,6.36,5.23,6.98,3.29,3.2,5.52,3.38,2.78,4.16,2.05,3.71,2,3.45,7.95,1.4,5.09,4.45,1.55,0.95,2.73,0.7,,4.65,1.95,4.24,3.03,4.44,2.5,1.2,3,2.47,2.45,3.47,6.29,1.82,3,3.72,2.51,,
November,,,,,,,,,,,,,,3.53,3.48,2.09,5.44,1.52,1.62,3.26,2.4,1.38,3.27,2.27,4.05,4.28,5.63,3.46,4.53,1.25,3.27,2.56,5.2,4.02,1.65,2.83,2.25,1.63,3.72,0.55,2.75,,2.21,1.45,3.09,4.26,2.37,3,1.55,1.27,1.97,2.94,1.38,2.75,2.11,2.78,2.66,2.13,,
December,,,,,,,,,,,,,,2.16,2.37,1.01,2.68,3.8,7.19,4.07,1.86,2.37,4.09,0.62,0.41,1.34,5.26,2.99,1.91,1.62,3.22,4.22,4.3,2.7,3.04,0.46,4.3,1.29,1.5,2.05,0.2,,1.28,4.61,4.33,3.7,5.65,5.8,4.44,3.54,3.28,3.49,2.39,2.03,1.44,0.96,3.21,1.99,,
Total,,,,31.85,26.91,22.74,34.15,26,26.42,,,,,36.85,28.26,27.16,37.86,35.86,31.71,33.55,26.45,33.89,51.51,27.45,29.18,35.33,38.08,47.05,38.13,39.69,32.26,31.44,36.32,35.37,26.03,27.6,27,14.49,23.1,20.91,,,27.27,28.06,37.5,31.46,40.99,33.4,,,26.96,21.28,25.54,29.32,25.02,23.4,30.11,32.41,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is adjacent to the dam of Rudyard Reservoir and, which is the only location that matches the stated altitude in the vicinity of the dam.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 1850s record is annual totals only and may not be the same location as the other years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There is a note that the gauge was moved in 1892 but with no details.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Negative comments made by the inspector for years 1882, 1887, 1898, 1900, 1901 and 1903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
