WEYBRIDGE-CHURCH-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ072648,Long,-0.46131218,Lat,51.372149,Elevation,55,ft.,,,,,,,,,,,,
Station no,RR8376,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,0.32,1.47,1.26,1.83,2.47,1.57,3.9,1.6,0.96,0.96,2.37,2.18,0.46,,,,,,,
February,2.14,2.43,1.33,3.6,1.29,2.66,0.43,0.55,1.02,1.87,1.01,0.01,1.15,,,,,,,
March,0.47,1.78,0.68,0.89,1.17,1.56,1.32,1.55,2.87,1.56,1.52,1.96,1.1,,,,,,,
April,2.07,0.43,3,1.6,1.25,1.27,1.83,1.35,1.6,2.35,1.67,0.9,0.93,,,,,,,
May,0.24,1.43,1.43,2.09,0.59,2.72,4.02,1.55,1.2,3.09,1.51,2.87,1.09,,,,,,,
June,2.62,1.86,2.33,1.5,1.91,1.71,0.7,1.24,2.85,0.64,3.18,1.4,2.75,,,,,,,
July,4.33,2.07,2.08,2.16,1.77,0.32,1.83,0.87,5.84,2.75,3.97,3.2,2.67,,,,,,,
August,0.87,5.07,1.34,0.9,1.49,0.99,0.57,2.1,2.26,1.98,1.7,4.75,3.7,,,,,,,
September,4.79,2.13,2.49,2.38,1.88,4.54,1.63,1.98,1.14,1.2,0.62,1.17,2.89,,,,,,,
October,6.37,1.92,5.13,2,1.03,3.39,2.4,1.52,1.37,3.3,0.98,6.12,3.25,,,,,,,
November,1.71,2.76,2.42,2.95,1.27,2.7,2.68,3.22,3.75,0.7,1.8,2.34,2.61,,,,,,,
December,3.07,2.54,2.08,0.5,2.07,1.1,4.08,1.4,1.15,1.3,0.89,3,1.45,,,,,,,
Total,29,25.89,25.57,22.4,18.19,24.53,25.39,18.93,26.01,21.7,21.22,29.9,24.05,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Church Street with correct relationship to church. Altitudes match.,,,,,,,,,,,,,,,,,,,,
"The observer lived in Field Place, which cannot be found. There is a Churchfield Place 100m ESE, which may be the location of the gauge.",,,,,,,,,,,,,,,,,,,,
