"BANSTEAD BURGH HEATH, CAN HATCH",,,,,,,,,,,,
Grid ref,TQ244580,Long,-0.216704,Lat,51.307531,,,,,,,
Station no,87,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.07,1.94,1.16,,
February,,,,,,,,1.83,0.98,0.78,,
March,,,,,,,,0.80,3.28,4.05,,
April,,,,,,,,3.55,2.60,2.16,,
May,,,,,,,,1.93,2.17,1.48,,
June,,,,,,,,1.94,2.21,3.84,,
July,,,,,,,,1.19,3.69,4.13,,
August,,,,,,,,2.35,4.14,2.37,,
September,,,,,,,,0.54,1.51,3.24,,
October,,,,,,,,4.65,2.49,5.73,,
November,,,,,,,,2.99,0.93,0.93,,
December,,,,,,,,3.94,3.05,4.01,,
Total,,,,,,,,26.78,28.99,33.88,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.78,28.99,33.88,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,,
