"GLEN KINGIE (LOCHAN NA SGUID)",,,,,,,,,,,,
Grid ref,NN061984,Long,-5.197161,Lat,57.035803,,,,,,,
Station no,5709/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,4.90,6.34,,
February,,,,,,,,,7.50,8.54,,
March,,,,,,,,,7.00,1.10,,
April,,,,,,,,,7.04,10.08,,
May,,,,,,,,8.30,2.95,3.14,,
June,,,,,,,,2.30,8.12,4.00,,
July,,,,,,,,3.63,12.70,5.02,,
August,,,,,,,,7.60,7.62,5.76,,
September,,,,,,,,6.75,4.10,5.26,,
October,,,,,,,,12.80,11.71,1.52,,
November,,,,,,,,2.45,11.03,8.50,,
December,,,,,,,,7.65,14.41,12.64,,
Total,,,,,,,,,99.08,71.90,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.48,99.08,71.90,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
