"GLEN KINGIE (LOCHAN NA SGUD)",,,,,,,,,,,,
Grid ref,NN061983,Long,-5.197084,Lat,57.034906,,,,,,,
Station no,5709/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,10.88,11.58,6.03,8.35,19.00,15.50,4.95,,,
February,,,8.80,4.30,5.20,7.00,6.90,6.53,7.00,,,
March,,,3.60,6.09,1.65,4.15,7.00,2.83,7.00,,,
April,,,6.55,2.85,4.90,4.25,3.00,6.00,6.62,,,
May,,,5.45,3.80,4.15,10.25,3.10,8.00,2.85,,,
June,,,1.84,3.23,4.56,2.80,5.00,2.41,7.55,,,
July,,,7.50,4.50,0.95,7.60,6.56,3.68,12.55,,,
August,,,7.20,5.75,2.75,5.70,7.50,7.42,7.36,,,
September,,,10.00,12.00,10.75,8.00,9.25,6.74,4.04,,,
October,,,6.73,16.10,9.25,10.00,12.80,12.30,11.05,,,
November,,,19.40,13.65,3.90,9.00,3.15,2.44,10.72,,,
December,,,10.10,21.92,18.99,20.50,15.00,7.60,13.80,,,
Total,,,98.05,105.77,73.08,97.60,98.26,81.45,95.49,,,
Calc annual,0.00,0.00,98.05,105.77,73.08,97.60,98.26,81.45,95.49,0.00,,
Difference,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
