WORTH-BETTESHANGER-COLLIERY,,,,,,,,,,,,,,,,,,,,
Grid ref,TR348550,Long,1.3629197,Lat,51.245814,Elevation,5,ft,,,,,,,,,,,,
Station no,292/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,3.04,4.78,1.91,2.11,1.86,3.73,1.59,1.82,1.26,1.42,2.84,1.44,
February,,,,,,,,0.82,0.96,2.3,1.94,0.98,1.64,1.25,1.36,2.5,1.31,0.68,1.14,
March,,,,,,,,0.48,1.8,2.27,1.34,1.76,0.33,0.14,0.82,2.13,4.04,1.32,0.64,
April,,,,,,,2.12,0.77,2.47,0.83,0.9,1.09,1.1,1.57,1.22,1.69,1.36,2.3,1.58,
May,,,,,,,3.49,2.21,2.02,0.18,1.06,2.97,1.56,0.46,1.82,2.47,0.95,2.51,1.66,
June,,,,,,,1.58,1.46,1.32,0.06,0.61,0.22,1.15,1.53,0.38,2.2,3.35,3.72,0.36,
July,,,,,,,1.1,2.53,1.98,2.12,3.23,2.88,1.35,1.68,1.12,2.43,1.39,1.57,1.11,
August,,,,,,,1.13,3,1.27,0.13,3.44,1.65,1.45,1.14,3.15,5.4,0.42,3.85,0.82,
September,,,,,,,2.77,2.37,1.76,1.63,0.24,2.12,1.25,3.01,0.92,2.02,2.2,1.64,2.93,
October,,,,,,,2.68,3.2,11.31,3.42,1.85,3.55,1.36,5.05,1.32,1.25,0.77,1.02,6.81,
November,,,,,,,1.11,2.92,4.46,6.08,2.99,2.42,2.62,4.47,1.6,3.78,1.46,2.03,5.1,
December,,,,,,,5.62,2.73,1.07,1.44,1.2,2.5,1.85,2.53,2.93,2.68,2.86,2.28,3.03,
Total,,,,,,,,25.53,35.2,22.37,20.91,24,19.39,24.42,18.46,29.81,21.53,25.76,26.62,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1947 May Jun estimated (glass jar stolen),,,,,,,,,,,,,,,,,,,,
1948 Total corrected,,,,,,,,,,,,,,,,,,,,
1950 Station discontinued because of constant interference with equipment,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,
