"MILLPORT (MARINE BIOL. STATION)",,,,,,,,,,,,
Grid ref,NS174544,Long,-4.910864,Lat,55.748432,,,,,,,
Station no,5384,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.45,5.66,3.04,4.73,2.69,2.98,5.45,5.20,1.92,3.23,,
February,2.88,1.68,1.70,5.04,3.08,1.26,2.87,3.19,2.26,3.83,,
March,2.97,3.77,1.20,3.26,1.63,2.62,4.52,1.16,3.05,2.07,,
April,2.37,2.03,2.47,1.93,4.68,1.68,2.07,1.78,2.93,4.73,,
May,1.69,1.90,2.25,2.94,3.93,2.29,1.68,3.24,1.34,2.34,,
June,1.98,3.51,1.36,3.44,3.25,2.76,2.49,2.41,3.80,2.59,,
July,3.26,3.25,3.39,4.17,0.99,4.01,5.00,4.59,5.10,4.33,,
August,3.63,4.56,3.99,4.96,1.36,5.09,3.54,4.25,0.79,3.63,,
September,3.51,3.39,5.12,6.60,4.88,4.92,2.70,4.04,1.61,3.47,,
October,1.31,6.81,5.18,7.81,4.27,3.08,4.71,3.14,5.89,2.69,,
November,6.43,2.50,7.83,7.37,2.23,2.09,2.57,2.51,5.25,6.72,,
December,8.79,5.05,4.54,5.62,7.49,4.97,4.85,7.25,7.77,6.10,,
Total,43.27,44.11,42.07,57.87,40.48,37.75,42.45,42.76,41.71,45.73,,
Calc annual,43.27,44.11,42.07,57.87,40.48,37.75,42.45,42.76,41.71,45.73,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
