EVESHAM (WORCESTER ROAD),,,,,,,,,,,
Grid ref,SP034447,Long,-1.9517781,Lat,52.100627,Elevation,111,ft,,,
Station no,2427,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,1.3,2.82,1.39,2.62,2.51,3.39,0.63,3.73
February,,,,2.97,0.4,2.33,2.21,2.56,1.57,0.35,0.41
March,,,,1.81,0.87,0.35,0.57,1.79,1.98,0.03,1.19
April,,,,2.04,2.51,1.18,2.43,1.47,0.97,0.81,2.47
May,,,,1.74,5.32,2.69,4.16,1.17,0.89,1.48,2.2
June,,,,0.19,1.61,0.33,1.55,2.32,2.69,1.05,1.53
July,,,,2.86,3.63,2.92,1.59,3.24,1.48,1.63,3.03
August,,,,2.09,3.16,1.79,1.94,2.81,1.88,1.63,2.53
September,,,,2.28,3.52,3.37,0.64,4.19,0.73,0.71,2.51
October,,,,4.55,4.29,2.69,2.6,1.22,3.19,4.25,1.89
November,,,,1.09,1.81,0.94,4.99,1.99,2.67,6.17,3.49
December,,,,2.46,1.97,2.03,0.36,2.48,1.95,5.41,2.87
Total,,,,25.38,31.91,22.01,25.66,27.75,23.39,24.15,27.85
,,,,,,,,,,,
"1930s TYR gauge stolen, no records",,,,,,,,,,,
