"DARTMOOR WHITE TOR PRINCETOWN NO1",,,,,,,,,,,,
Grid ref,SX619788,Long,-3.952427,Lat,50.592548,,,,,,,
Station no,1711,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.50,4.80,2.75,,
February,,,,,,,,3.50,2.80,0.70,,
March,,,,17.40,,,,1.60,4.65,6.70,,
April,,,,,,-999.00,,5.68,3.05,5.80,,
May,,,,5.40,,,,6.00,2.95,2.10,,
June,,,,,,,,4.10,1.62,2.60,,
July,,,,,,-999.00,,2.50,4.20,4.20,,
August,,,,11.50,,,,2.45,4.90,3.00,,
September,,,,5.50,,-999.00,1.48,1.40,2.40,2.20,,
October,,,,13.20,,,7.80,9.30,2.40,10.40,,
November,,,,0.10,,,4.25,4.40,2.70,2.20,,
December,,,,11.70,,-999.00,4.50,4.80,5.15,7.20,,
Total,,,49.40,64.80,50.25,40.85,45.83,48.23,41.62,49.85,,
Calc annual,0.00,0.00,0.00,64.80,0.00,0.00,18.03,48.23,41.62,49.85,,
Difference,NaN,NaN,49.40,0.00,50.25,40.85,27.80,0.00,0.00,-0.00,,
