HASCOMBE-COURT,,,,,,,,,,,,,,,,,,,,
Grid ref,SU991400,Long,-0.58442,Lat,51.15073,Elevation,450,ft,,,,,,,,,,,,
Station no,176/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,4.3,2.12,2.63,1.18,6.04,7.01,3.65,6.15,3.21,3.17,2.69,7,2.48,3.31,3.05,2.84,5.53,1.14,0.99
February,,0.14,4.2,0.15,4.21,2.55,5.32,0.63,1.55,3.18,3.85,1.15,1.84,0.76,3.16,2.72,1.54,1.6,1.58,5.59
March,,2.09,4.59,3.01,0.52,1.84,4.17,0.33,1.86,3.87,3.38,2.43,0.65,0.16,1.31,1.28,5.92,1.08,1.24,1.94
April,,3.2,0.98,2.47,3.66,1.89,3.3,0.19,2.72,1.86,1.36,2.02,1.32,1.3,1.25,2.68,2.47,2.23,1.85,2.6
May,,5.26,2.42,0.56,1.42,0.81,2.98,1.36,2.59,1.1,2.5,3.41,3.41,0.96,2.04,3.33,1.66,2.72,2.48,1.79
June,,1.72,1.13,1.22,4.35,3.72,1.68,0.79,1.52,1.31,1.99,0.22,1.59,1.69,3.01,2.91,2.64,3.32,0.53,1.57
July,,2.75,1.8,2.03,1.17,4.5,1.21,2.66,3.77,3.02,3.17,1.87,2.39,2.17,5.27,1.85,0.96,1.05,0.76,4.56
August,,0.63,1.22,2.8,3.39,0.76,0.93,2.81,2.1,0.06,4.45,3.83,1.7,1.77,1.7,5.78,0.49,3.89,1.09,3.55
September,,2.45,2.89,2.52,4.7,2.51,1.79,2.04,0.68,1.87,0.23,1.67,1.52,2.01,2.57,4.48,1.27,2.43,1.36,3.61
October,,5.81,1.95,2.2,3.78,2.42,3.33,3.6,5.8,4.29,1.24,3.95,3.52,4.91,4.11,1.25,0.61,2.35,8.29,0.29
November,,2.16,1.19,3.59,7.34,4.65,2.99,5.32,5.94,8.45,4.02,2.09,1.79,5.1,0.23,6.09,1.36,1.76,2.54,6.35
December,,0.59,0.5,9.22,4.38,4.34,4.66,,2.05,1.8,2.81,4.06,2.32,3.22,3.5,3.69,3.21,4.53,2.07,1.85
Total,,31.1,24.99,32.4,40.1,36.03,39.37,,36.73,34.02,32.17,29.39,29.05,26.53,31.46,39.11,24.97,32.49,24.93,34.69
,,,,,,,,,,,,,,,,,,,,
1932-1936 Stn No 179/5,,,,,,,,,,,,,,,,,,,,
1937 Stn No changed to 176/3,,,,,,,,,,,,,,,,,,,,
1938 Dec Partly estimated,,,,,,,,,,,,,,,,,,,,
1950 Station terminated Observer moved to Pirbright in 1951,,,,,,,,,,,,,,,,,,,,
