"NEWTOWN STEWART BARON'S COURT",,,,,,,,,,,,
Grid ref,IH3620082800,Long,-7.439316,Lat,54.692119,,,,,,,
Station no,6253,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.31,3.68,2.62,7.96,4.52,3.43,6.20,,3.99,4.86,,
February,2.65,1.90,2.29,4.98,4.61,2.89,3.89,,3.77,2.77,,
March,1.01,4.34,2.41,7.43,3.10,4.93,3.59,,5.70,4.87,,
April,2.56,3.34,2.98,1.74,3.65,2.79,3.14,,2.79,4.25,,
May,2.73,2.58,4.07,3.10,2.75,1.38,4.69,,2.80,2.58,,
June,5.54,3.81,1.70,1.78,1.67,1.88,1.09,5.73,2.65,1.10,,
July,3.30,1.72,3.67,4.52,3.55,2.63,2.07,,3.51,3.30,,
August,4.34,4.23,2.35,6.34,6.31,4.42,5.28,,4.93,2.65,,
September,3.76,5.12,2.33,3.33,3.57,2.73,1.50,,6.26,3.30,,
October,6.13,4.64,2.79,6.78,3.11,2.37,4.93,,1.81,6.19,,
November,6.06,3.49,4.91,2.96,3.48,4.47,3.97,,3.42,2.09,,
December,5.55,5.40,4.44,4.01,3.30,3.73,4.05,,4.57,4.12,,
Total,48.94,44.25,36.56,54.93,43.62,37.65,44.40,,46.20,42.08,,
Calc annual,48.94,44.25,36.56,54.93,43.62,37.65,44.40,5.73,46.20,42.08,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,0.00,0.00,,
