NEWTON STEWART BARON'S COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IH3620082800,Long,-7.439316,Lat,54.692119,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.81,2.88,6.71,3.11,1.91,1.73,2.16,4.75,5.31,3.68,2.62,7.96,4.52,3.43,6.2,,3.99,4.86,,2.45,3.98,6.88,2.23,3.97,4.62,2.26,3.22,3.82,5.55,5.02,,4.27,3.87,3.87,5.62,5.34,8.73,1.41,4.65,3.93,4.94,4.98,4.9,2.26,3.91,5.96,5.64,2.82,2.38,1.56,6.06,4,5.05,3.78,4.09,3.5,4.58,3.24,1.92,3.4,4.54,1.47,3.65,3.53,3.3,4.22,3.16,2.13,2.3
February,,,1.45,3.52,6.31,0.54,2.9,4.28,4.88,3.3,2.65,1.9,2.29,4.98,4.61,2.89,3.89,,3.77,2.77,,4.77,3.32,1.73,6.96,4.29,4.42,2.09,4.52,0.67,3.11,1.13,,5.09,2,5.68,3.2,2.09,5.34,3.41,0.44,4.34,0.42,3.22,0.49,4.17,1.84,3.84,2.04,2.93,1.99,2.71,1.64,3.01,1.25,3.39,2.19,0.89,2.43,2.55,2.39,5.25,2.09,1.32,4.54,2.48,2.12,2.09,2.72,0.89,3.04
March,,,1.06,1.38,3.25,3.73,4.37,5.9,1.67,2.76,1.01,4.34,2.41,7.43,3.1,4.93,3.59,,5.7,4.87,,1.89,5.92,4.82,5.67,1.39,1.32,3.32,1.52,3.74,3.64,4.24,,2.18,0.71,2.57,2.85,3.7,3.92,0.51,3.07,1.54,2.95,3.47,2.3,2.2,1.92,1.26,2.38,2.97,4.03,2.46,2.9,1.45,0.77,1.12,1.51,3.97,2.59,1.9,2.06,2.8,2.09,0.81,3.88,1.32,1.7,2.79,1.11,1.98,1.76
April,,,1.1,0.87,2.8,1.71,2.13,3.47,4.77,4.73,2.56,3.34,2.98,1.74,3.65,2.79,3.14,,2.79,4.25,,2.7,2.07,4.46,2.56,2.79,4.3,2.94,1.23,2.51,3.8,1.56,,3.11,3.02,3.83,2.04,1.64,2.12,1.57,1.71,2.59,3.16,2.13,2.25,3.5,1.32,2.15,0.32,1.22,2.44,1.13,1.54,2,1.95,1.62,0.91,3.04,1.91,2.69,3.35,1.62,1.01,2.28,0.88,2.44,1.62,1.34,1.2,2.72,0.87
May,,,4.8,1.34,2.35,0.69,0.91,4.02,3.48,3.26,2.73,2.58,4.07,3.1,2.75,1.38,4.69,,2.8,2.58,,2.01,1.59,3.41,2.07,1.19,5.44,2.39,2.24,1.99,3.8,2.27,,2.21,4.57,4.21,3.68,1.82,1.4,2.44,1.69,4.09,2.8,2.58,2.89,1.27,1.99,2.48,2.83,0.95,0.99,1.64,3.15,3.44,2.23,4.23,0.61,3.29,1.34,2.41,0.88,1.32,2.33,2.7,3.32,3.1,2.18,1.89,2.08,0.93,1.11
June,,,3.3,2.65,1.99,1.38,4.29,7.34,3.52,2.88,5.54,3.81,1.7,1.78,1.67,1.88,1.09,5.73,2.65,1.1,,1.62,5.92,3.52,0.88,3.15,2.74,2.08,1.74,4.02,1.7,0.34,,1.47,2.92,0.84,2.53,3.79,6.12,2.46,2.66,4.79,1.78,2.54,2.29,4.1,2.83,1.57,4.88,2.12,0.81,0.59,0.45,3.16,3.37,4.49,4.14,3.55,2.92,1.01,1.63,2.59,2.8,1.44,3.8,3.5,4.03,1.35,4.5,2.99,2.12
July,,,2.94,3.06,3.19,3.52,4.3,3.67,0.48,2.52,3.3,1.72,3.67,4.52,3.55,2.63,2.07,,3.51,3.3,,3.81,5.47,1.43,2.7,4.36,4.36,1.52,3.96,0.83,3.35,4.26,,3.36,4.54,3.31,2.5,3.24,1.67,3.84,4.16,5.76,4.21,2.39,2.49,1.06,6.37,4.49,5.97,3.21,4.21,2.62,3.97,2.82,3.05,3.63,3.9,3.78,2.82,2.15,4.7,2.13,1.75,4.8,4.4,1.5,4.26,3.68,3.78,3.27,4.15
August,,,6.12,5.14,2.7,4.8,3.03,6.13,4.62,3.12,4.34,4.23,2.35,6.34,6.31,4.42,5.28,,4.93,2.65,,3.61,5.09,1.4,3.89,2.96,2.99,6.18,4.23,3.24,2.41,4.32,,5.64,6.75,2.98,3.3,3.8,6.69,6.26,6.62,1.8,2.21,2.62,5.4,3.37,2.67,4.26,2.96,1.07,0.83,3.33,4.99,6.68,2.9,1.71,5.35,0.38,3.06,2.11,4.98,4,3.81,3.46,3.54,1.99,5.64,4.94,4.35,1.07,3.55
September,,,4.85,3.42,0.15,1.09,5.49,2.36,3.61,4.27,3.76,5.12,2.33,3.33,3.57,2.73,1.5,,6.26,3.3,,1.69,1.03,3.46,2.32,1.89,1.13,2.61,5.38,3.63,2.9,1.6,,5.88,4.92,3.04,2.78,4.35,4.78,1.35,2.63,2.6,3.6,0.28,6.27,6.96,3.64,4.48,2.32,1.79,2.63,0.9,5.43,4,5.86,3.47,6.44,2.72,3.33,1.81,5.87,2.27,2.22,4.57,5.33,4.36,3.14,4.09,2.49,1.05,2.1
October,,,3.87,4.06,4.03,5.57,5.8,3.88,2.97,2.49,6.13,4.64,2.79,6.78,3.11,2.37,4.93,,1.81,6.19,,3.88,4.54,3.06,1.73,2.75,7.46,7.26,5.55,1.52,3.72,4.65,,5.31,2.55,2.94,3.05,3.95,5.81,6.45,5.67,3.42,4.45,4.02,5.65,6.16,4.03,0.94,7.57,1.47,4.57,4.2,4.2,4.51,5.11,4.86,1.03,1.79,2.66,3.52,3.56,2.42,3.84,1.9,6.45,2.77,3.22,3.77,2.64,3.25,2.3
November,,,5.55,2.46,3.77,5.22,1.24,3.2,5.1,3.94,6.06,3.49,4.91,2.96,3.48,4.47,3.97,,3.42,2.09,,4.79,5.29,4.12,4.49,2.85,4.73,6.33,4.89,3.27,5.29,3.2,,4.16,2.54,2.23,4.59,4.35,5.48,5.21,4.3,5.08,3.23,1.25,1.1,4.2,3.72,1.89,7.46,5.1,3.62,4.72,1.25,3.83,4.91,0.73,2.99,5.56,2.2,3.35,3.07,3.5,2.43,3.65,4.9,2.81,2.14,1.2,1.54,3.86,2.13
December,,,2.71,5.25,4.54,5.41,5.43,5.12,4.95,5.95,5.55,5.4,4.44,4.01,3.3,3.73,4.05,,4.57,4.12,,6.55,6.67,3.3,6.56,6.15,3.04,3.46,5.33,7.53,3.47,5.33,,3.52,4.99,3.07,1.4,1.2,4.25,8.46,4.37,4.36,5.89,2.05,4.17,2.87,5.12,3.01,4.85,3.27,5.52,2.48,5.27,3.26,3.84,3.39,4.84,1.9,5.4,5.47,3.04,3.99,4.3,3.18,5.22,4.56,4.73,4.1,3.53,4.73,2.24
Total,,,40.56,36.03,41.79,36.77,41.8,51.1,42.21,43.97,48.94,44.25,36.56,54.93,43.62,37.65,44.4,,46.2,42.08,,39.77,50.89,41.59,42.06,37.74,46.55,42.44,43.81,36.77,42.74,37.92,,46.2,43.38,38.57,37.54,39.27,56.31,43.37,41.97,44.3,39.64,31.53,40.2,42.12,39.36,36.33,49.22,28.92,34.02,28.34,40.85,42.16,40.29,36.42,38,34.37,35.24,32.21,37.45,35.29,33.21,31.58,49.91,34.36,38.08,35.46,33.1,28.87,27.67
