BRERETON-SENIOR-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK053162,Long,-1.9229314,Lat,52.7434,Elevation,300,ft.,,,,,,,,,,,,,
Station no,2346,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.28,4.6,2.12,2.23,1.84,2.29,0.91,3.55,3.59,3.15,7.09,
February,,,,,,,,,,0.61,0.59,2.62,0.18,3.36,0.26,2.54,2.26,4.52,0.67,1.79,
March,,,,,,,,,,0.19,3.66,0.09,1.98,2.7,2.4,0.46,1.82,2.47,0.92,,
April,,,,,,,,,,0.93,2.25,3.8,2.89,0.97,1.93,3.18,2.06,2.26,0.15,,
May,,,,,,,,,,2.44,2.84,3.18,5.43,1.29,0.77,0.6,0.64,2.56,1.5,,
June,,,,,,,,,,1.42,1.29,4.35,0.92,1.43,1.05,3.16,4.61,0.97,2.04,,
July,,,,,,,,,,1.52,7.28,3.01,3.05,1.59,1.12,0.36,4.71,2.21,3.54,,
August,,,,,,,,,,3.01,2.67,6.22,3.25,0.77,2.27,0.88,0.67,0.55,2.26,,
September,,,,,,,,,,0.65,3.55,2.69,2.23,0.91,1.72,4.01,2.87,2.79,3.8,,
October,,,,,,,,,,4.03,2.15,0.81,4.83,4.82,2.78,3.13,1.64,2.21,2.72,,
November,,,,,,,,,,5.48,3.3,3.65,1.89,1.18,1.93,5.01,3.32,1.63,3.28,,
December,,,,,,,,,,5.31,3.11,1.07,0.97,0.36,4.29,4,1.87,3.33,3.84,,
Total,,,,,,,,,,26.87,37.29,33.61,29.85,21.22,22.81,28.24,30.02,29.09,27.87,,
,,,,,,,,,,,,,,,,,,,,,
NGR is a school in Brereton with the correct relationship to the church. Altitudes match,,,,,,,,,,,,,,,,,,,,,
