CONISTON (SCHOOL GARDEN),,,,,,,,,,,,,,,,,,,,,
Grid ref,SD303975,Long,-3.0743014,Lat,54.368225,Elevation,180,ft,,,,,,,,,,,,,
Station no,3027,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,11.89,11.54,9.53,12.53,8.93,18.57,4.05,11.52,6.86,11.27,6.19,13.36,5.23,,,15.47,12.33,6.71
February,,,,11.28,2.99,7.74,12.31,6.69,6.34,2.31,0.5,6.54,0.08,12.76,0.47,13.63,,,5.56,10.78,3.74
March,,,,3.73,3.02,3.12,4.62,8.85,6.83,,4.9,1.68,6.28,6.32,5.54,4.74,,,7.13,7.07,10.72
April,,,,7.39,4.37,8.04,4.54,5.08,3.14,2.74,2,3.61,7.6,5,4.43,7.93,,,1.97,5.84,4.71
May,,,,6.79,8.09,7.5,4.82,4.04,1.23,4.08,4.19,6.38,6.35,4.22,5.24,1.19,,,6.92,1.09,1.28
June,,,,4.31,4.78,0.78,4.38,6.2,8.52,2.56,3.75,9.43,2.15,4.42,2.55,6.99,,,10.81,6.72,1.5
July,,,,7.04,6.89,2.39,5.71,7.02,8.21,,3.28,8.91,8.37,6.49,1.53,3.3,,,14.79,14.19,9.4
August,,,,14.83,6.74,8.22,7.93,6.91,10.03,8.31,9.57,4.65,2.27,6.51,9.16,3.89,,,5.52,2.88,5.01
September,,,,12.52,9.75,6.46,7.15,9.27,3.56,4.44,3.81,3.54,10.77,2.17,8.7,10.07,,,5.21,3.78,10.45
October,,,,18,8.32,10.17,7.67,8.51,14.68,10.96,15.5,6.62,14.65,6.14,13.57,12.99,,,22.02,3.67,9.64
November,,,,14.61,6.46,5.94,,9.12,17.85,19.48,7.42,7.45,11.1,3.84,1.83,9.91,,,15.03,15.45,12.92
December,,,,11.63,14.36,8.84,,5.17,8.05,14.72,9.37,6.54,15.4,1.94,11.09,7.42,,,9.83,5.62,13.23
Total,,,,124.02,87.31,78.73,,85.79,107.01,,75.81,72.21,96.29,66,77.47,87.29,,,120.26,89.42,89.31
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1926 Nov/Dec hence total adjusted from local stations therefore omitted,,,,,,,,,,,,,,,,,,,,,
"1929 March, July  and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,
1940s no data on record,,,,,,,,,,,,,,,,,,,,,
