PATCHING-PUMPING-STATION,,,,,,,,,
Grid ref,TQ092074,Long,-0.44995025,Lat,50.855815,Elevation,118,ft,
Station no,447/4,,,,,,,,
,,,,,,,,,
,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.79,1.41,1.61,4.33,5.01,2.67,5.18,3.73,2.93
February,0.56,1.42,2.89,1.92,0.29,4.95,2.83,0.1,3.81
March,3.2,0.42,3.71,1.21,0.48,2.03,2.19,2.23,2.13
April,1.7,2.98,0.47,0.32,1.75,0.14,1.04,2.55,0.82
May,1.92,2.04,1.84,4.67,0.43,1.24,3.34,0.84,1.57
June,1.28,1.64,3.42,2.8,2.18,1.82,3.51,1.04,1.79
July,0.94,3.38,4.51,1.1,3.73,4.37,1.74,1.58,5.08
August,,2.01,3.31,1.65,3.95,2.65,4.66,1.5,5.03
September,4.09,4.01,2.83,2.51,3.93,3.92,4.88,0.14,6.35
October,3.95,3.73,2.64,3.49,1.97,2.01,2.98,3.29,8.2
November,4.2,1.9,6.54,1.75,0.89,3.08,2.78,3.37,6.91
December,3.72,0.84,2.84,4.17,4.64,2.34,4.59,7.99,4.61
Total,,25.78,36.61,29.92,29.25,31.22,39.72,28.36,49.23
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1952 Aug estimated,,,,,,,,,
