ORPINGTON (PARK AVENUE),,,,,,,,,,,,
Grid ref,TQ470632,Long,0.109449,Lat,51.348873,,,,,,,
Station no,394/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.90,2.40,1.18,,,4.13,1.65,2.73,3.45,2.77,,
February,6.35,1.09,1.75,,,0.63,3.98,2.60,0.12,2.53,,
March,3.55,3.08,0.40,,,1.15,1.13,1.75,1.89,1.97,,
April,2.96,1.10,,,,1.38,0.30,2.00,2.32,0.69,,
May,2.21,1.51,,,,0.54,1.12,1.75,1.56,1.91,,
June,1.26,1.42,,,2.40,3.93,1.26,4.46,1.37,2.02,,
July,1.93,0.83,,,0.08,5.11,3.57,1.93,1.70,3.06,,
August,3.13,2.85,,,0.97,3.19,3.17,3.96,0.93,3.04,,
September,2.98,3.89,,,2.73,2.78,2.71,6.52,0.24,4.50,,
October,0.99,2.98,,,4.88,1.24,1.63,3.28,2.59,,,
November,4.25,4.50,,,1.06,0.65,3.59,1.64,3.05,,,
December,2.90,2.55,,,2.22,3.76,2.38,3.12,5.35,,,
Total,35.41,28.20,,,,28.49,26.49,35.74,24.57,,,
Calc annual,35.41,28.20,3.33,0.00,14.34,28.49,26.49,35.74,24.57,22.49,,
Difference,-0.00,0.00,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,NaN,,
