BALDERSDALE BALDERHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY886178,Long,-2.177777,Lat,54.555311,Elevation,1360,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,-999,2.8,-999,2,2.6,3.6,3.5,5.1,5.8,-999,4.7,4.2,7.1,9,4.1,5.7,3.6,4.6,6.2,6,8.5,1,6.5,4.1,6.2,3.9,5.6,2.2,4.3,5.2,5.8,6.2,,,,5.6,8.5,6.2,3.7,5,8.2,3.1,3.5,4.5,4.6,2.3,4.6,3.2,4,6.8,3.5,3.5,5.5
February,,,,,,,,,-999,5.1,-999,4.5,3,3.2,5.7,4.3,5.2,-999,4.6,1.1,5.7,1.4,4.9,6,1.9,6.2,4.6,3.4,5.8,0.6,1.2,4.7,0.3,6.9,0.4,7.4,3.4,,3.1,4.6,,,,3.7,2.1,5.4,4.7,4,4.6,4.2,6.3,4.8,,2.6,3.1,2.7,2.2,5,7.5,1.5,2.6
March,,,,,,,,,-999,2.4,1.7,3.7,4.8,5.3,5,3.7,1.6,1.9,1.9,3.4,4.4,4,3,2.8,1.9,3.3,4,5.9,3.5,0.5,2.1,0.6,3.7,3,4,2.9,3,,4.3,4.3,5.6,,,2.3,0.9,2.8,2.9,7,3.2,2.4,3,5.1,,1,3,2.3,2.4,2.7,3,2,2.5
April,,,,,,,,,2.3,4.8,2.5,3.1,1,5.4,2,2.2,4,2.1,1.3,2.7,6.4,1.5,3.7,3.7,2.4,4.5,2.3,4.7,1.2,2,3.2,3.9,4.6,2.9,3.5,3.7,1,3,1,2.7,2.6,2.1,2.2,3.1,2.3,3.9,2.4,6.4,3.3,4.1,4.2,3.2,,3.35,1,2.8,1.2,1,2.9,4.1,2.8
May,,,,,,,,,4.8,1.5,2.5,2.7,3,2.6,3.2,1.9,4.7,2.4,2.3,1.3,5.6,2.9,1.5,4.1,5.1,5.1,3.2,2.7,1.6,2.6,2.2,3.2,3.7,2.8,3,0.5,2.1,3.5,3.3,1,2.9,2.6,2.8,4.9,2.8,4.1,2,1.9,2,2.5,3.6,3,,2.7,4.4,4.4,2.1,2.9,6.2,0.8,2.2
June,,,,,,,,,2.9,3.8,3.4,3.5,6.1,2.9,2.6,0.6,2.7,2.1,1.6,1.9,3.1,1.2,2.8,1.8,4.6,0.5,2.3,4.2,7,3.1,3.5,5.7,1.5,2.9,2.7,3.7,3.5,3.4,2.5,4.4,1.3,0.5,1,5.3,4.1,3.3,3.5,6.1,5.6,1.2,3.4,1.4,3,2.25,4.2,3.1,2.4,3.2,3.1,2.9,2
July,,,,,,,,,3,5.1,4.4,1.5,3.9,1.3,2.6,4.5,4.7,1.9,4.9,1.7,6.5,2.5,5.8,4.1,5.8,2.5,6.1,5.4,4.3,5.4,7.5,6.1,5.2,4.9,3.3,1.7,4.4,3.4,4.5,6.3,5,1.1,5.1,3.2,4.3,3.3,6,5.1,2.8,3.2,4.4,2.2,3.5,5.4,5.2,1.8,4.2,7,4.5,3,6.2
August,,,,,,,,,4.2,3.7,7.4,3.4,6.5,1.8,2.6,4.2,3.2,8.8,6.3,4.7,3.1,7.2,4,8,4.1,5.2,5.1,9,8.3,4.5,7.7,3.5,1.8,2.1,4.7,1.7,3.1,1.4,4.5,3.2,3.3,6.2,4,9,2.3,4.5,6.5,0.4,7.1,2.8,7.2,3.9,6,7.3,7,1.6,9.2,8.3,5,1.2,5
September,,,,,,,,,6.8,2.4,0.4,3.1,3.6,3.6,3.4,2.4,3.5,3,11.5,2.9,2.6,2.2,5.4,4.1,5.1,2.9,6.5,7.5,1.9,3.2,4.7,1.9,7,2.2,3.4,7.7,7.3,4.4,2.3,1.3,5,1,4.4,4.4,8.1,3.6,7.6,4.5,6.4,3.2,7.5,3.9,5.5,3.35,8.1,2.6,4.3,4.5,4,1.1,2.8
October,,,,,,,,,2.5,5.5,2.5,3.8,4.6,3.3,1.7,1.5,9.1,5,4.8,3.7,2.8,4,1.9,9,6.2,5.2,5.5,4.7,5.5,5.4,6.5,3.8,7.2,5.6,7.9,8.6,5.1,2.5,9.2,5.1,5.1,5.3,4.9,5,4.9,6.2,1.7,2,4.4,5.6,5.2,2.2,,2.1,10.7,3.4,4.6,4.9,4.3,3.9,6.8
November,,,,,,,,,4.6,1.4,3.5,5.9,4.1,4.8,7.8,1.6,5.5,4.8,2.6,4.8,3.1,2.5,2,5.4,4.1,3.1,6.6,5.7,6.5,7,5.2,6,3.6,3.1,2.5,6.1,6.1,1.2,6.3,5.8,5.8,3.7,2,3.3,8,1.9,7.3,7,4,8,5.5,9.3,,4.6,6.3,2.5,2.1,3.1,1.6,5.8,7.2
December,,,,,,,,,2.4,6.2,4.2,7.5,6.1,3.5,8.5,7.1,3.5,2.6,7.2,6.3,3.9,6.8,6.4,3.7,7.3,7.3,2.5,2.1,2.5,7.5,3.4,3.1,3.9,1.1,5.9,3.3,6.1,2.9,5.3,2.5,5.7,2.9,4.5,2.7,5,2.8,5.1,4.6,3.7,7.9,3.3,9.3,,2.3,7.8,7.9,6.3,5.9,3.8,7.8,5.5
Total,,,,,,,,,45.03,44.7,44.2,44.7,49.3,41.3,48.6,39.1,53.5,38,53.7,38.7,54.3,45.2,45.5,58.4,52.1,50.4,54.9,61.3,56.6,42.8,53.7,46.6,48.7,41.4,46.9,49.5,49.4,,52.1,47.4,,,,52.5,53.3,48,53.4,54,55.3,48.2,57.1,52.8,,39.25,65.4,38.3,45,55.3,49.4,37.6,51.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 Jan-Mar 11.53 bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 Jan/Feb 11.7 bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917 Jan/Feb 3.4 bracketed but apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 Feb/March values transposed as on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Feb 6.2; Mar 3.6 estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan 2.9; Feb 3.3 adjusted using local sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Jan 3.5; Feb 5; Mar 4.7 estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Jan 4.3' Feb 2.4; Mar 3 estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1952 Feb-May and Oct-Dec all estimated - classed as ""too much estimation on record""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
