"BALDERSDALE (BALDERHEAD)",,,,,,,,,,,,
Grid ref,NY886178,Long,-2.177777,Lat,54.555311,,,,,,,
Station no,3492,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.50,4.60,2.30,4.60,3.20,4.00,6.80,3.50,3.50,5.50,,
February,4.80,2.10,2.60,3.10,2.70,2.20,5.00,7.50,1.50,2.60,,
March,5.10,2.50,1.00,3.00,2.30,2.40,2.70,3.00,2.00,2.50,,
April,3.20,3.10,3.35,1.00,2.80,1.20,1.00,2.90,4.10,2.80,,
May,3.00,2.20,2.70,4.40,4.40,2.10,2.90,6.20,0.80,2.20,,
June,1.40,3.00,2.25,4.20,3.10,2.40,3.20,3.10,2.90,2.00,,
July,2.20,3.50,5.40,5.20,1.80,4.20,7.00,4.50,3.00,6.20,,
August,3.90,6.00,7.30,7.00,1.60,9.20,8.30,5.00,1.20,5.00,,
September,3.90,5.50,3.35,8.10,2.60,4.30,4.50,4.00,1.10,2.80,,
October,2.20,5.40,2.10,10.70,3.40,4.60,4.90,4.30,3.90,6.80,,
November,9.30,3.40,4.60,6.30,2.50,2.10,3.10,1.60,5.80,7.20,,
December,9.30,4.30,2.30,7.80,7.90,6.30,5.90,3.80,7.80,5.50,,
Total,52.80,45.60,39.25,65.40,38.30,45.00,55.30,49.40,37.60,51.10,,
Calc annual,52.80,45.60,39.25,65.40,38.30,45.00,55.30,49.40,37.60,51.10,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
