WAKEFIELD WOOLLEY - OBSERVER Henley Eden,,,,,,,,,,
Grid ref,SE326128,Long,-1.5087379,Lat,53.610745,Elevation,318,ft,,
Station no,RR2919,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,1.63,,
February,,,,,,,,0.49,,
March,,,,,,,,1.57,,
April,,,,,,,,0.59,,
May,,,,,,,,2.17,,
June,,,,,,,,0.2,,
July,,,,,,,,1.06,,
August,,,,,,,,1.2,,
September,,,,,,,,2.81,,
October,,,,,,,,2.68,,
November,,,,,,,1.28,1.47,,
December,,,,,,,4.08,1.4,,
Total,,,,,,,,17.27,,
,,,,,,,,,,
NGR at distance elevation from St Peter's church as on record,,,,,,,,,,
