"CATCLEUGH NURSERY",,,,,,,,,,,,
Grid ref,NT749031,Long,-2.397085,Lat,55.321323,,,,,,,
Station no,3580/9/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.21,4.05,2.25,4.37,4.01,3.66,5.51,4.63,3.07,6.30,,
February,3.78,0.78,2.65,3.12,3.35,3.70,3.95,3.07,0.89,5.33,,
March,3.12,2.70,0.76,3.70,1.93,1.20,2.76,2.28,2.05,2.53,,
April,3.88,3.92,4.68,0.96,1.25,1.07,0.69,1.91,3.27,3.03,,
May,3.31,2.51,3.05,6.67,4.37,1.72,2.50,5.11,0.83,2.64,,
June,1.38,2.70,4.65,2.65,1.53,4.11,1.96,3.73,3.79,2.26,,
July,2.92,1.91,5.14,4.63,2.69,4.32,3.94,5.64,3.30,3.48,,
August,4.69,5.83,4.36,7.18,1.20,8.01,7.04,4.12,0.87,4.74,,
September,4.00,4.07,4.57,5.54,3.06,2.92,3.45,3.76,1.05,2.62,,
October,1.31,5.99,2.23,7.98,4.16,3.04,3.99,2.92,3.06,5.97,,
November,7.48,5.30,4.84,6.92,2.18,1.55,1.67,0.94,7.69,6.35,,
December,6.13,6.55,2.61,5.18,6.35,5.69,2.98,5.07,7.31,4.96,,
Total,47.21,46.31,41.79,58.90,36.08,40.99,40.44,43.18,37.18,50.21,,
Calc annual,47.21,46.31,41.79,58.90,36.08,40.99,40.44,43.18,37.18,50.21,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
