GREENWICH ROYAL OBSERVATORY (On roof of Library),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ389772,Long,-0.0007,Lat,51.4773,Elevation,177,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,2.01,0.75,1.04,2.36,2.07,2.48,0.72,0.6,1.4,0.8,2.4,2.8,1.7,1.7,1,2,2.2,0.6,0.6,1.1,0.3,1.4,1.8,0.65,2.63,2.23,1.54,2.78,
February,,0.75,0.69,2.2,1.81,0.77,1.45,1.26,2.4,2.2,1.3,0.9,0.4,1,1.1,1.4,0.8,0.1,1.7,0.5,0.7,1.4,0.4,0.4,0.58,1.32,2.66,0.86,0.55,
March,,0.85,1.38,0.29,2.03,1.06,0.88,0.34,2.7,0.3,0.3,3.7,0.1,1.4,0.4,1.3,1.2,0.8,0.4,1.1,1.1,1.6,2.8,0.5,2.36,0.57,1.08,2.17,0.42,
April,,1.64,0.81,1.57,0.23,0.44,3.07,0.68,3.2,2,1.8,1.8,0.5,3.1,0.5,0.1,1.7,1.2,2.3,1.7,0.8,0.8,2.4,0.3,0.83,0.33,2.14,1.34,1.05,
May,,1.5,2.01,3.51,0.15,1.98,1.47,1.1,0.2,3.6,2.3,0.6,2,1.5,3.2,1.5,3.3,0.6,1.7,2.5,3.4,1.5,2.5,0.9,1.87,4.1,1.71,2.06,1.18,
June,,2.28,0.98,0.94,1.58,1.69,0.47,1.01,3.1,0.1,0.9,1.3,4.9,2.7,0.9,0.7,1.6,2,1.5,1.3,5.2,1.7,1.4,3.3,0.78,2.27,3.36,1.45,0.35,
July,,3.5,2.45,2.58,2.32,1.58,1.37,0.54,1.8,2.8,2.7,3.3,2,6.1,1.5,4.8,1.1,1.1,2.8,3,2.6,1.9,1.3,0.7,0.24,2.1,1.39,4.58,0.74,
August,,1.89,1.95,3.38,1.43,2.48,3.17,2,4.3,0.4,1.5,2.4,4.4,2.2,2.9,0.8,2.2,2.7,1.5,0.8,2.7,0.4,2.7,1.5,1.15,3.58,2.01,2.04,1.99,
September,,3.32,3.55,0.38,1.19,2.18,1.73,1.22,2.4,2.8,1.7,0.4,3.6,2.4,0.7,1.1,2.5,3.7,0.6,2.9,2.8,1.1,1.5,2.3,2.16,0.17,3.09,2.26,1.09,
October,,5.63,1.27,4.28,4.01,1.26,4.47,1.46,3.4,2.6,1.4,1.7,3.6,4.6,1.7,4.5,1.6,3.7,1,3,1,0.7,3,1.4,0.85,5.3,2,1.47,1.72,
November,,3.01,3.61,1.78,4.74,1.79,1.37,1.15,1.1,1.5,1.7,0.5,5.3,1.5,1.3,1.1,1.1,1.3,0.4,,2.2,3.8,0.9,1,2.01,1.41,1.04,0.23,0.51,
December,,1.81,0.58,0.17,0.34,1.7,0.7,1.54,2.3,1.9,1.1,0.5,1.5,0.4,1,0.9,1.1,0.4,1.2,,1.9,0.9,1.1,0.7,0.43,0.42,1.14,1.09,3.21,
Total,,28.19,20.03,22.12,22.19,19,22.63,13.02,27.5,21.6,17.5,19.5,31.1,28.6,16.9,19.2,20.2,19.8,15.7,,25.5,16.1,21.4,14.8,13.91,24.2,23.85,21.09,15.59,
