"GREENWICH ROYAL OBSERVATORY NO 8",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,NONE,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.28,1.73,2.36,,,,,,,,,
February,0.60,0.11,1.78,,,,,,,,,
March,1.39,1.22,1.33,,,,,,,,,
April,2.67,1.20,2.68,,,,,,,,,
May,0.68,1.24,1.05,,,,,,,,,
June,1.69,0.43,1.37,,,,,,,,,
July,3.20,0.14,3.15,,,,,,,,,
August,1.61,0.66,2.27,,,,,,,,,
September,3.44,1.69,1.81,,,,,,,,,
October,1.09,0.79,0.90,,,,,,,,,
November,0.76,1.94,1.28,,,,,,,,,
December,1.89,1.13,2.88,,,,,,,,,
Total,21.30,12.28,22.86,,,,,,,,,
Calc annual,21.30,12.28,22.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
