GREENWICH ROYAL OBSERVATORY (Crosley's gauge),,,,,,,,,,,,
Grid ref,TQ389772,Long,-0.0007,Lat,51.477,Elevation,157,ft,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,1.6,0.5,1.6,2,0.65,2.76,3.08,2.4,3.48,,,
February,1,1.7,0.4,0.4,0.66,1.61,3.55,1.2,1.09,,,
March,1.7,2.2,3.2,0.5,2.37,0.86,1.28,2.08,0.91,,,
April,1,0.9,2.6,0.5,0.82,0.41,2.16,2.11,1.6,,,
May,3.6,1.5,2.6,1,1.94,3.9,1.76,2.09,1.27,,,
June,5.3,1.7,1.9,3.2,0.87,2.35,3.55,1.62,0.45,,,
July,2.6,1.9,1.6,0.8,0.3,2.13,1.68,5.24,0.88,,,
August,3.5,0.5,2.6,1.6,1.15,3.48,2.44,2.41,2.2,,,
September,2.2,1.2,1.4,2.5,2.25,0.18,3.91,2.55,1.2,,,
October,1,0.8,3.5,1.6,0.96,5,1.8,1.69,2.07,,,
November,1.8,3.6,0.9,1.2,2.16,2.23,1.3,0.4,0.85,,,
December,2.1,1.1,1.4,0.8,0.48,0.81,1.57,1.42,4.25,,,
Total,27.4,17.6,23.7,16.1,14.61,25.72,28.08,25.21,20.25,,,
