GREENWICH-ROYAL-OBSERVATORY (PARK ROW),,,,,,,,,,
Grid ref,TQ387778,Long,-0.0027,Lat,51.4825,Elevation,20,ft,,
Station no,RR3201,,,,,,,,,
,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829
January,,,,1.36,0.94,1.03,,,,
February,,,,3.2,2.34,0.86,,,,
March,,,,1.36,1.69,1.3,,,,
April,,,,1.75,1.89,1.75,,,,
May,,,,0.74,3.77,2.97,,,,
June,,,,1.14,3.51,0.74,,,,
July,,,,3.3,1.82,0.1,,,,
August,,,,2.68,3.95,,,,,
September,,,,0.89,3.21,,,,,
October,,,,3.96,2.44,,,,,
November,,,3.66,1.55,3.88,,,,,
December,,,2.26,1.95,3.55,,,,,
Total,,,,23.88,32.99,,,,,
,,,,,,,,,,
,,,,,,,,,,
