GREENWICH ROYAL OBSERVATORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ392774,Long,0.0032,Lat,51.4784,Elevation,155,ft,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,1.2,2.7,3.6,2.11,1.4,1.47,2.63,2.6,0.75,0.8,,,,1.5,0.51,1.7,1.42,1.37,2.07,1.25
February,1.4,1.25,0.9,1.48,1.21,1,1.1,0.2,1.7,0.86,,,,0.3,0.34,0.78,2.14,0.69,0.53,1.22
March,0.4,4.05,0.17,1.5,0.32,1.98,1.1,0.83,0.8,1.35,,,,0.4,1.6,0.23,0.9,1.46,0.25,0.31
April,2.25,2.3,0.49,3.21,0.59,0.09,2.28,1.4,2.25,2.17,,,,0.2,0.64,0.27,1.47,0.9,0.93,0.54
May,2.3,0.8,1.9,1.5,3.51,1.8,3.45,0.33,2,2.35,,,,0.6,1.31,3.5,1.37,1.79,1.21,2.47
June,1,1.75,4.6,2.75,0.91,0.85,1.6,2.7,1.2,1.4,,,,2.9,0.45,1.97,2.87,1.23,0.33,0.78
July,2.82,4.2,2.25,5.48,1.75,5.25,0.9,1.1,3,3.3,,,,0.7,0.12,1.78,,3.45,0.62,0.47
August,1.7,2.6,4.35,2.75,2.61,1.4,2.42,2.5,1.5,1.13,,,,1.2,0.75,3.15,,1.94,1.56,0.79
September,1.35,0.5,3.8,2.23,0.98,1.95,2.8,3.4,0.86,3.8,,,,1.9,2.1,0.09,2.84,2.15,0.81,2.01
October,1.58,2.18,3.75,4.23,2.42,5.2,1.91,4.2,1.44,3.6,,,,1,0.72,4.14,1.83,1.19,1.24,1.22
November,2.18,0.65,6,1.95,1.9,1.5,1.25,1.35,0.5,2.9,,,,0.8,1.58,1.29,0.74,0.23,0.36,1.84
December,1.35,0.55,2.2,0.8,1.41,1.1,1.83,0.55,1.7,2.17,,,,0.5,0.28,0.39,0.93,0.75,3.13,1.75
Total,19.53,23.53,34.01,29.99,19.01,23.59,23.27,21.16,17.7,25.83,,,,12,10.4,19.29,,17.15,13.04,14.65
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_01_pt1-page-009.csv added,,,,,,,,,,,,,,,,,,,,
