GREENWICH ROYAL OBSERVATORY NO 2,,,,,,,,,,,,
Grid ref,TQ388773,Long,-0.002705,Lat,51.477638,,,,,,,
Station no,17,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.51,0.42,,,
February,,,,,,,,0.51,0.52,,,
March,,,,,,,,0.28,1.24,,,
April,,,,,,,,2.39,1.13,,,
May,,,,,,,,0.83,1.09,,,
June,,,,,,,,1.70,1.92,,,
July,,,,,,,,,2.77,,,
August,,,,,,,,,2.25,,,
September,,,,,,,,,0.85,,,
October,,,,,,,,2.22,1.66,,,
November,,,,,,,,1.52,0.38,,,
December,,,,,,,,1.62,1.30,,,
Total,,,,,,,,,15.53,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.58,15.53,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,NaN,,
