GREENWICH ROYAL OBS GROUND GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ392774,Long,0.0032,Lat,51.4784,Elevation,155,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,2.11,1.02,1.35,2.42,2.4,2.82,1.38,1.2,1.5,1.2,2.7,,2.1,1.4,1.5,2.4,2.6,,,1.81,0.55,1.9,2.6,0.93,3.34,3.48,2.8,3.69,
February,,1.32,1.05,2.39,2.32,0.93,1.47,1.39,2.6,2.3,1.4,1.3,,1.5,1.2,1,0.9,0.2,,,1.1,1.8,0.5,0.6,0.84,1.9,3.9,1.21,1.2,
March,,1.35,1.9,0.51,2.3,1.51,0.88,0.77,3.1,0.6,0.4,4.1,,1.5,0.3,2,1.2,1,,,1.86,2.15,3.7,0.7,2.72,0.88,1.56,2.3,1,
April,,1.92,0.43,1.72,0.35,0.55,3.05,0.99,3.44,1.98,2.3,2.3,,3.2,0.6,0.1,2.3,1.4,,,1,0.8,2.8,0.4,0.7,0.38,2.44,2.1,1.76,
May,,2.06,2.09,3.75,0.3,2.21,1.5,1.4,0.4,3.7,2.3,0.8,,1.5,3.5,1.8,3.5,0.6,,,3.9,1.6,2.8,1.2,1.94,4.2,1.95,2.2,1.34,
June,,2.7,0.95,1.3,1.56,1.89,0.5,1.5,3.5,0.3,1,1.8,,2.8,0.9,0.9,1.6,2.1,,,5.8,1.8,1.8,3.9,0.88,2.2,3.57,1.51,0.3,
July,,3.6,2.96,2.42,2.18,1.85,1.5,0.67,1.98,2.9,2.8,4.2,,5.5,1.8,5.3,0.9,1.3,,,2.8,2.1,1.6,0.9,0.3,2.18,1.58,5.3,0.71,
August,,2.2,1.78,3.62,1.71,3.1,4,1.95,4.25,0.45,1.7,2.6,,2.8,2.6,1.4,2.4,2.7,,,3.68,0.6,3,1.8,1.4,3.96,2.4,2.5,2.31,
September,,3.95,3.99,0.46,1.19,2.12,1.79,1.56,2.38,3.25,1.4,0.5,,2.2,1,2,2.8,3.9,,,3.1,1.5,1.6,3.1,2.8,0.16,3.9,2.61,1.37,
October,,5.95,1.41,4.25,4.01,1.38,5.13,2,3.5,2.7,1.6,2.2,,4.2,2.4,5.2,1.6,3.9,,,1.6,0.9,4,1.7,1.13,6,2.05,1.93,2.35,
November,,3.7,4.25,2.3,4.5,2.4,1.52,2,1.2,1.5,2.2,0.6,,1.9,1.9,1.5,1,1.3,,,2.5,5.2,1.1,1.8,2.65,2.45,1.48,0.42,1.05,
December,,2.4,0.74,0.4,0.36,2,1.13,2,2.55,2.4,1.4,0.6,,0.8,1.4,1.1,1.3,0.4,,,2.75,1.3,1.7,1.1,0.6,0.9,1.78,1.7,4.7,
Total,18.24,33.26,22.57,24.47,23.2,22.34,25.29,17.61,30.1,23.58,19.7,23.7,,30,19,23.8,21.9,21.4,,,31.9,20.3,26.5,19.8,16.89,28.55,30.09,26.58,21.78,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1845 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1847 Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1852, 1858 & 1859 removed as duplicates of Gauge No 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_01_pt1-page-005.csv added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
