GREENWICH ROYAL OBSERVATORY (Crosley's Gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ389772,Long,-0.0007,Lat,51.477,Elevation,157,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,0.78,1.9,2.85,1.73,2.12,1.73,2.18,0.57,,,,,,,,,,,,,,,,,,,2.11,0.92,1.25,2.38,1.92,2.52,1.17,1,1.5,1,2.4,2.9,1.8,1.3,0.8,2.1,2.3,0.7,0.8,1.6,0.5,1.6,2,0.65,2.76,3.08,2.4,3.48,
February,,,,,,1.21,1.47,1.17,1.8,2.67,0.6,0.04,0.98,,,,,,,,,,,,,,,,,,,1.05,0.82,2.23,1.99,0.77,1.32,1.42,2.5,2,1.1,0.9,0.9,0.8,0.9,1.3,0.9,0.2,1.7,0.8,1,1.7,0.4,0.4,0.66,1.61,3.55,1.2,1.09,
March,,,,,,2,1.72,1.9,3.45,1.58,1.5,3.45,1.39,,,,,,,,,,,,,,,,,,,1.3,1.85,0.48,2.2,1.21,1.07,0.68,2.6,0.5,0.3,3.6,0.1,1.4,0.4,1.4,1,0.9,0.7,1.4,1.7,2.2,3.2,0.5,2.37,0.86,1.28,2.08,0.91,
April,,,,,,2.45,1.94,0.06,2.99,2.82,1.48,1.82,2.56,,,,,,,,,,,,,,,,,,,2.05,0.65,1.61,0.33,0.62,3.2,0.92,3,2.2,2.1,2.3,0.5,2.9,0.6,0.2,1.9,1.4,1.9,2,1,0.9,2.6,0.5,0.82,0.41,2.16,2.11,1.6,
May,,,,,,2.14,1.95,4.16,2.53,2.98,3.57,2.22,1.9,,,,,,,,,,,,,,,,,,,2.03,2.17,3.45,0.29,2.06,1.75,1.59,0.2,3.6,2.2,0.8,1.8,1.4,3,1.7,3.4,0.6,1.6,2.1,3.6,1.5,2.6,1,1.94,3.9,1.76,2.09,1.27,
June,,,,,,1.65,2.19,1.34,0.6,2.28,2.11,2.21,0.8,,,,,,,,,,,,,,,,,,,2.83,0.87,1.24,1.53,1.83,0.67,1.62,3.5,0.3,0.9,1.3,4.2,2.6,0.7,0.8,1.5,2.1,1.2,1.4,5.3,1.7,1.9,3.2,0.87,2.35,3.55,1.62,0.45,
July,,,,,,1.57,3.96,3.89,0.69,2,4.38,2.82,4.07,,,,,,,,,,,,,,,,,,,3.89,2.67,2.35,2.21,1.78,1.71,0.82,2.1,2.8,2.6,4,1.7,5.2,1.3,4.9,1.2,1.3,2.7,3.1,2.6,1.9,1.6,0.8,0.3,2.13,1.68,5.24,0.88,
August,,,,,,1.63,2.3,2.53,0.07,0.36,1.7,1.92,1.81,,,,,,,,,,,,,,,,,,,2.26,1.88,3.27,1.58,2.72,4.23,1.88,4.2,0.5,1.6,2.3,4.1,2.1,2.7,1.1,2.2,2.7,1.5,1.1,3.5,0.5,2.6,1.6,1.15,3.48,2.44,2.41,2.2,
September,,,,,,1.07,1.87,0.81,3.78,3.13,2.23,3.4,1.37,,,,,,,,,,,,,,,,,,,3.74,3.81,0.46,1.06,1.95,1.79,1.57,2.2,3,1.5,0.4,3.6,2.2,,1.2,2.6,2.6,0.9,3.7,2.2,1.2,1.4,2.5,2.25,0.18,3.91,2.55,1.2,
October,,,,,,2.29,2.61,2.4,1.89,2.13,2.64,2.42,3.6,,,,,,,,,,,,,,,,,,,5.95,1.34,3.88,3.45,1.26,5.13,2,3.3,2.6,1.2,1.8,3.7,3.8,,4.5,1.6,3.6,1.2,3.1,1,0.8,3.5,1.6,0.96,5,1.8,1.69,2.07,
November,,,,,,1.37,2.74,1.8,2.49,2.69,1.76,4.33,,,,,,,,,,,,,,,,,,,,3.56,3.85,2.02,3.88,2.11,1.46,1.78,1,1.4,1.9,0.6,5.3,1.4,,1.2,1.2,1.3,0.5,2.5,1.8,3.6,0.9,1.2,2.16,2.23,1.3,0.4,0.85,
