GREENWICH-ROYAL-OBSERVATORY (PRIOR STREET),,,,,,,,,,
Grid ref,TQ382771,Long,-0.0112,Lat,51.4763,Elevation,40,ft,,
Station no,RR3201,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,2.89,0.96,1.25,2.76,,,,,
February,,0.87,1.09,2.35,,,,,,
March,,1.08,2.02,0.47,,,,,,
April,,1.81,0.57,1.73,,,,,,
May,,1.7,2.21,4.1,,,,,,
June,,1.76,0.95,1.34,,,,,,
July,,2.96,2.79,2.79,,,,,,
August,,2.5,1.38,3.26,,,,,,
September,2.51,3.62,3.83,0.4,,,,,,
October,1.4,5.37,1.39,4.15,,,,,,
November,2.73,3.71,4.29,2.12,,,,,,
December,0.41,2.13,0.72,0.31,,,,,,
Total,,30.4,22.21,24.27,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Small rounding errors exist from 3 decimal value conversion,,,,,,,,,,
