Rainfall at,GREENWICH ROYAL OBSERVATORY
,
Station no,17,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.30,1.74,2.38,1.05,2.80,1.66,2.07,1.52,3.01,0.87,2.47,
February,0.58,0.12,1.79,2.65,0.65,3.12,2.63,3.37,1.18,0.38,0.91,
March,1.38,1.21,1.29,2.20,0.70,0.63,0.13,2.15,1.66,0.04,1.44,
April,2.67,1.20,2.74,1.37,3.01,2.02,3.91,1.74,1.38,1.16,1.38,
May,0.69,1.25,1.10,1.94,2.68,1.31,1.76,1.21,2.49,1.82,3.04,
June,1.71,0.44,1.39,0.47,2.37,0.12,3.19,2.60,2.29,1.23,3.55,
July,3.23,0.15,3.21,2.61,4.21,3.66,2.09,2.25,2.12,1.78,1.80,
August,1.62,0.68,2.32,1.89,1.92,2.31,3.50,3.54,2.81,2.12,2.77,
September,3.44,1.82,1.83,1.19,3.10,2.02,1.06,4.07,0.69,0.17,3.10,
October,1.11,0.80,0.93,5.07,3.27,2.41,2.62,1.25,3.45,2.58,1.05,
November,0.77,1.98,1.32,1.61,3.15,1.44,4.76,2.24,1.75,5.04,4.36,
December,1.93,1.17,2.89,1.97,2.80,2.70,0.38,3.40,2.42,4.52,1.54,
Total,21.43,12.56,23.19,24.02,30.66,23.40,28.10,29.34,25.25,21.71,27.41,
Calc annual,21.43,12.56,23.19,24.02,30.66,23.40,28.10,29.34,25.25,21.71,27.41,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,
