GREENWICH ROYAL OBSERVATORY NO 5 (On roof of Photographic Thermometer Stand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ389772,Long,-0.0007,Lat,51.4771,Elevation,165,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,2.879,,,1.551,,,,,,,2.422,,,1.01,1.02,0.75,1.6,1.15,2.9,2.51,0.41,,,,,
February,,,,,1.553,,,2.339,,,,,,,2.456,,,1.16,1.34,0.61,2.65,1.25,1.7,0.78,2.35,,,,,
March,,,,,0.706,,,3.153,,,,,,,1.32,,,0.84,2.06,2.86,1.05,1.61,2.51,2.25,3.76,,,,,
April,,,,,1.408,,,1.532,,,,,,,0.943,,,3.12,2.12,1.66,2.67,1.66,0.04,2.07,1.1,,,,,
May,,,,,1.536,,,1.176,,,,,,,1.897,,,1.39,1.51,1.19,2.17,2.08,1.2,1.16,1.59,,,,,
June,,,,,2.065,,,1.97,,,,,,,0.909,,,2.56,1.98,3.58,2.09,2.1,2.41,0.77,1.4,,,,,
July,,,,,3.258,,,0.711,,,,,,,2.246,,,0.97,3.65,3.14,3.5,0.27,1.28,2.12,1.45,,,,,
August,,,,,2.995,,,2.799,,,,,,,1.265,,,1.86,3.26,1.75,2.41,1.37,4.32,1.95,1.22,,,,,
September,,,,,1.322,,,2.576,,,,,,,1.434,,,0.65,1.23,2.43,0.76,1.34,2.03,1.33,0.71,,,,,
October,,,,,3.861,,,0.511,,,,,,,1.682,,,3.14,2.01,3.93,2.15,3.36,1.84,3.58,0.95,,,,,
November,,,,,2.969,,,1.05,,,,,,,1.6,,,2.14,0.71,0.77,3.15,3.26,1.44,2.48,2.54,,,,,
December,,,,,1.883,,,1.985,,,,,,,2.252,,,2.63,1.89,2.36,3.07,3.89,2.6,0.79,5.64,,,,,
Total,,,,,26.435,,,21.353,,,,,,,20.426,,,21.47,22.78,25.03,27.27,23.34,24.27,21.79,23.12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Input data for 1894, 1897 & 1904 from the three '8 Gauge sheets' included in the TYR but not input at initial phase.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
