GREENWICH ROYAL OBSERVATORY (roof of thermometer stand),,,,,,,,,,
Grid ref,TQ389772,Long,-0.0007,Lat,51.4771,Elevation,165,ft,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,1.8,2.6,0.81,3.31,3.43,2.34,3.54,
February,,,0.4,0.5,0.72,1.56,3.77,1.14,1.01,
March,,,3.5,0.7,2.53,0.79,1.45,2.16,0.8,
April,,,2.8,0.4,0.83,0.37,2.4,1.98,1.61,
May,,1.7,2.8,1.2,2.03,4.32,1.89,2.16,1.41,
June,,1.8,1.9,3.9,0.85,2.38,3.62,1.6,0.46,
July,,2.2,1.6,0.8,0.31,2.25,1.6,5.28,0.9,
August,,0.5,2.9,1.8,1.33,3.8,2.36,2.4,2.32,
September,,1.4,1.6,2.9,2.75,0.16,3.75,2.57,1.27,
October,,0.9,3.9,1.7,1.04,5.79,2.06,1.68,2.16,
November,,5,1,1.5,2.48,2.18,1.41,0.41,0.83,
December,,1.2,1.5,1.1,0.46,0.81,1.61,1.43,4.35,
Total,,,25.7,19.1,16.14,27.72,29.35,25.15,20.66,
