"COLCHESTER (HYTHE GASWORKS)  ESSEX",,,,,,,,,,,,
Grid ref,TM014243,Long,0.924748,Lat,51.880877,,,,,,,
Station no,1317,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.46,1.81,0.65,1.22,2.26,3.48,1.00,2.50,1.98,1.92,,
February,3.86,0.61,0.87,2.03,1.40,0.30,2.41,2.06,0.14,2.33,,
March,2.46,2.98,0.32,1.89,1.11,0.92,1.15,0.84,1.33,1.35,,
April,2.58,0.87,1.63,0.26,0.14,0.85,0.10,1.06,1.75,0.43,,
May,2.22,1.19,1.11,1.54,2.93,0.62,0.98,1.67,0.27,0.84,,
June,0.98,1.65,3.93,2.34,2.00,1.92,1.28,4.81,0.60,1.03,,
July,2.25,0.58,3.56,2.56,0.14,2.89,3.90,2.47,1.38,2.76,,
August,2.65,1.85,2.28,2.74,2.24,3.70,2.22,4.59,0.71,3.34,,
September,2.14,3.42,1.29,1.31,1.66,1.32,2.76,3.56,0.02,,,
October,0.70,2.03,1.99,1.45,3.31,1.11,1.46,2.27,1.80,,,
November,3.19,4.26,0.90,3.12,0.71,0.53,2.63,1.23,2.28,,,
December,1.55,2.21,0.60,1.48,1.43,1.91,2.34,4.04,3.59,,,
Total,26.04,23.46,19.13,21.94,19.33,19.55,22.23,31.10,15.85,,,
Calc annual,26.04,23.46,19.13,21.94,19.33,19.55,22.23,31.10,15.85,14.00,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,,
