LOCH KATRINE (TUNNEL HILL TOP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN417088,Long,-4.556208,Lat,56.245276,Elevation,830,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,8,14,14.5,8,7.2,12.6,6.1,11.8,12.9,5,6.1,11,13.4,8,14.6,8.5,14.4,7.1,2.6,6,1.5,9.3,13.4,11.2,6.1,5.7,6.8,6,8.9,15.5,7.6,8.7,7.7,19.7,2.3,7.7,2.5,8.5,10.3,10.6,5.9,8,16,9.5,7.1,14,7.4,8,9.1,10.3,6.1,10.5,10.3,7.8,6.85,18.8,3.5,7.9,7.4,12.4,15.1,10.45,13.1,7.7,9.3,19.25,13.15,23,3.5,13.6,8,17.8,12.5,17,5.3,7,15.6,15.6,3.5,2,1.5,8,10.55,11.5,3.4,13.3,13.4,12.5,11.2,7.3,9.4,6.3,6.3,8.8,5.8,6.8,13.9,11.8,4.1,6.1,,
February,,8.5,3.2,7.4,6.5,5.4,11.5,8.2,13.8,9.7,9.8,9.4,11.6,1.4,3.5,2.4,6.7,7.8,5.2,4.7,10.5,6.6,8.8,11,10.4,11.5,4.2,5.1,0.6,4.1,1.8,3.2,2.2,10.9,24.3,0.7,5.6,8.7,8.2,7.2,6.5,2.4,2.7,14.8,6.8,6.3,8.9,8,5.7,3.4,9.3,16.1,9.8,7.2,13.1,12.55,9.85,1.4,15.6,1.2,14.8,3.7,8.8,10.6,2.1,6.5,9.5,5.2,11.5,3,0.3,7.2,0.1,5.3,2.1,13.9,4.8,6.7,8.8,12,3.5,7.5,2.8,9.1,4.6,15.2,6.9,0.52,10.3,10.9,9.5,5.9,3.5,5.2,7.8,4.1,3.5,6.9,4.4,3.7,8.9,,
March,,9.5,5.1,5.6,4.8,3.3,5.5,3.2,10.1,2.2,1.3,6.2,5.6,3.1,8.5,3.7,10.5,3.6,4,9,4.4,7.4,9.7,4,11.6,2.5,5.3,2.5,2.8,3.1,7.6,5.2,2.2,3.9,9,5.9,10.3,12.4,3.6,7,0.5,5,7,20.1,5.2,10.5,5.4,7.2,7.7,1.8,4.8,3.3,10.3,10,9.2,5.25,1.85,3.5,2.8,4.8,9.95,14.8,3.75,4.6,0.75,3.5,10.3,6.05,10.6,1.7,5.2,1.6,3.2,5.5,4.2,3.95,6.05,1.6,12,6.8,7.1,2.9,4.1,4.5,1.3,8,4.6,5,9.8,4,7.1,5.9,8.6,3.6,7.2,2.2,5.3,9.2,2.6,7.5,3.6,,
April,,0.4,7.5,6.7,3.6,1.9,5.7,10.6,5.1,1.9,3.6,4.8,2.8,1,4.2,2.4,3,5,4.2,3.1,6.1,2.6,3.4,5.4,2,4.3,3.1,2.4,3.1,4.7,3.1,3.6,2.3,2.4,3.1,6.3,4.6,5.7,7.6,7,5,7,4.2,3.3,11.1,4,2.7,4.3,3.1,6.6,6.5,7.8,4.5,5.2,7.8,6.55,6.2,2.1,1.5,4.8,3.45,2.3,4.15,5.9,4.7,7.85,4.05,5.1,4.9,1.6,2,3.4,8.5,5.2,6.3,6.1,2.9,3.7,1.4,4.5,4,5,4,7.9,5.7,5,2.9,16.7,5.5,9,5.6,5.9,4.3,4.9,3.1,5.3,3.1,3.7,3.9,6.5,10.2,,
May,,0.9,7.2,3.2,1.75,4.9,1.9,4,5.9,1.2,7.3,1.8,3.3,4.4,2.7,5.7,1.5,5,8.3,3.3,2.7,4.2,5.7,4.8,7.2,3.8,4.4,0.4,5.5,5.6,4.3,2.7,6.6,4.2,4.3,1.1,0.7,4,2.8,3.9,7.4,2.7,3.6,3.4,4.8,2.9,6.4,7,4.2,4.8,2.2,6.7,3,6.2,2.9,1.3,4.8,4.45,4.05,1.8,9.8,5.65,7.9,2.85,6.25,10.7,5.1,3.8,1.5,7,4.4,7.4,3.5,3.4,4.75,0.5,2.6,3,4.4,1.6,2.5,2.1,5.5,5.1,5.8,7,2.3,5.11,2.7,3.8,2.5,2.1,2.4,4.8,5.5,5.1,5.2,3.4,5.8,2,5,,
June,,5.1,7.2,4.9,6.75,1.1,3.7,3.2,2.9,3,1.8,2.6,11.2,4.2,2.8,5.4,7,8.7,4.7,6.6,3.1,6.8,6.8,3.5,2.4,2.4,1.5,1.4,3,2.5,8.3,3,6.8,2.4,3.7,2.8,5.3,6.5,3.8,2.9,6.4,7,2.3,3.7,5.1,2.1,1.2,7.2,3.8,2.6,2.7,5.4,7.4,4.4,1.6,2.3,3.2,4.2,3.4,4,3.3,0.8,3.1,2.2,4,1.05,4.8,6.7,7.2,6.4,4.3,8,2.9,2.5,2.2,6.5,3.3,4.4,9.6,3.7,1.05,2.2,2,7.3,6.4,6.9,7,6.1,6.7,2.2,3.1,2.4,5.8,3.41,4.9,4.8,4.7,2.5,4.1,4.2,3.3,,
July,,6.2,8.5,0.6,3.8,5,4.1,6.7,1.5,4,2.9,6,7.2,9,7.1,2.2,5,5.4,1.1,6.8,4.7,5.8,10.1,4.7,6.1,2.2,3.8,4.2,7,2.2,6.1,3,4.7,3.9,5,7,5.6,4.6,1.9,4.2,4.4,3.3,3.7,7.7,4.7,3.9,5.7,2.9,4.8,3.3,7,4.8,4.1,1,5.8,4.4,3.7,1.9,3.9,2.2,5.05,6.1,4.8,6.8,6.65,2.3,4.1,5,6.1,4.1,3.7,5.2,5.5,4.7,4.3,2.7,7.8,6.2,4.6,8.6,4,3.8,7.6,4.2,3.7,5.4,5.9,5.7,6.9,3.5,9.1,5.1,3.8,7.5,4,1.2,6.9,6.2,5.2,7.7,6.2,,
August,,14.5,5,7.8,4.7,7.3,9,4.9,8.6,1.2,1.2,6.4,10.1,7.3,5.2,5.7,6.4,8.9,6.1,6.5,2.4,4.8,4.9,6,5.8,5.6,2.9,4.2,6,7.4,4.5,11,9.5,7.7,5.5,11.5,4.8,11.5,8.2,2.9,6.1,4.9,3.3,11,7.3,7.3,8.8,8.4,5.6,3.8,10.5,9,6.3,1.6,6.65,3.35,5.5,9.3,5.2,5.5,6.6,8.15,4.1,9,6.05,6.6,7.45,6.8,8.7,8.8,7.9,2.3,2.7,6.4,6.85,4.5,4.6,4.6,2.9,3,3.1,6.1,9.7,10.2,4.6,1.1,5.5,0,10.07,6.8,9.7,8.4,6.7,5.4,7.2,1.5,7.3,7.5,7.3,4.1,5.2,,
September,,10.1,2.7,9.5,9.2,2.8,8.6,7.4,3,11.8,6.6,2.4,9.9,5.2,11.6,7.2,3.6,3.8,9.4,11.5,4.4,3.8,6.4,5.1,6.3,10.5,6.7,3.3,1.4,1.8,9.5,7.9,11,5.7,-999,3.6,8.4,5.9,8.4,6.3,7.2,8.7,6.3,6.5,8.5,4.4,4.4,3.1,8.5,2.8,2.1,4,4.3,4.1,4.2,2.6,1.7,6.15,8.15,8.3,4.5,4.4,4.2,11.55,9.8,4.35,5.35,7.7,6,3.5,7.2,2.6,5,2.3,12,12.3,5.7,6.3,7.2,4.1,6.8,3,11.3,7.1,7.3,10.3,11.4,10.8,11.3,3.4,16.9,6.5,4.6,10.1,11.6,7.1,9.1,5.5,7,1.9,4.5,,
October,,8.7,15.1,6.8,5,6.8,6.8,9.1,10.2,4.2,11.3,8.7,8.3,9.6,13.6,10.1,11.8,14.8,9.7,3.5,0.9,6.1,8.2,11.9,8.8,4.5,6.5,1.8,5.4,7.8,6.4,13,7.4,10.3,5.9,3.8,6.3,6.4,6.8,7.3,9.1,7.9,7.2,17.1,6.8,6,10.9,5.2,2.4,12.1,2.9,7.2,9.9,6.3,3.4,5.85,13.56,12.6,11.8,1.8,5.6,8,4.1,12.4,5.9,8.9,8.9,9.7,15.6,12.3,14.1,7.3,9.6,6.1,15.8,18,10.8,3.5,16.2,5.5,11.3,8.1,9.3,18.2,9.3,9,0.9,6.8,12.7,11.6,10.9,2.8,9.7,7.7,14.6,7.4,5.9,9.5,8.4,9.7,7,,
