Rainfall at,LOCH KATRINE, TUNNEL HILL TOP
,
Station no,5515,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,12.40,15.10,10.45,13.10,7.70,9.30,19.25,13.15,23.00,3.50,13.60,
February,14.80,3.70,8.80,10.60,2.10,6.50,9.50,5.20,11.50,3.00,0.30,
March,9.95,14.80,3.75,4.60,0.75,3.50,10.30,6.05,10.60,1.70,5.20,
April,3.45,2.30,4.15,5.90,4.70,7.85,4.05,5.10,4.90,1.60,2.00,
May,9.80,5.65,7.90,2.85,6.25,10.70,5.10,3.80,1.50,7.00,4.40,
June,3.30,0.80,3.10,2.20,4.00,1.05,4.80,6.70,7.20,6.40,4.30,
July,5.05,6.10,4.80,6.80,6.65,2.30,4.10,5.00,6.10,4.10,3.70,
August,6.60,8.15,4.10,9.00,6.05,6.60,7.45,6.80,8.70,8.80,7.90,
September,4.50,4.40,4.20,11.55,9.80,4.35,5.35,7.70,6.00,3.50,7.20,
October,5.60,8.00,4.10,12.40,5.90,8.90,8.90,9.70,15.60,12.30,14.10,
November,12.30,5.25,6.65,5.35,7.50,1.10,12.70,8.85,11.20,13.20,10.40,
December,7.70,15.60,9.80,5.85,16.40,7.00,5.80,2.00,9.80,17.70,9.60,
Total,95.45,89.85,71.80,90.20,77.80,69.15,97.30,80.05,116.10,82.80,82.70,
Calc annual,95.45,89.85,71.80,90.20,77.80,69.15,97.30,80.05,116.10,82.80,82.70,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
