Rainfall at,LOCH KATRINE, TUNNEL HILL TOP
,
Station no,5515,
,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,6.00,1.50,9.30,13.40,11.20,6.10,5.70,6.80,6.00,8.90,
February,10.50,6.60,8.80,11.00,10.40,11.50,4.20,5.10,0.60,4.10,
March,4.40,7.40,9.70,4.00,11.60,2.50,5.30,2.50,2.80,3.10,
April,6.10,2.60,3.40,5.40,2.00,4.30,3.10,2.40,3.10,4.70,
May,2.70,4.20,5.70,4.80,7.20,3.80,4.40,0.40,5.50,5.60,
June,3.10,6.80,6.80,3.50,2.40,2.40,1.50,1.40,3.00,2.50,
July,4.70,5.80,10.10,4.70,6.10,2.20,3.80,4.20,7.00,2.20,
August,2.40,4.80,4.90,6.00,5.80,5.60,2.90,4.20,6.00,7.40,
September,4.40,3.80,6.40,5.10,6.30,10.50,6.70,3.30,1.40,1.80,
October,0.90,6.10,8.20,11.90,8.80,4.50,6.50,1.80,5.40,7.80,
November,9.80,13.30,11.10,8.60,8.60,5.90,5.50,3.00,14.10,3.80,
December,7.40,8.90,10.20,7.20,9.10,5.20,4.20,6.10,7.00,7.70,
Total,62.40,71.80,94.60,85.60,89.50,64.50,53.80,41.20,61.90,59.60,
Calc annual,62.40,71.80,94.60,85.60,89.50,64.50,53.80,41.20,61.90,59.60,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
