GWYSANEY MOLD,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ225665,Long,-3.1613548,Lat,53.18992,Elevation,600,ft,,,,,,,,,,,,
Station no,RR1353,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,2.03,0.34,4.22,0.81,0.7,1.38,4,0.03,0.55,5.05,,,,,,
February,,,,,0.87,0.08,0.63,1.24,0.24,1.33,3.06,3.3,0.48,0.06,,,,,,
March,,,,,1.26,0.3,0.77,2.55,1.53,3.67,3.04,3.81,1.79,0.56,,,,,,
April,,,,,1.17,0.39,1.46,3.88,5.04,3.64,1.7,1.11,5.08,1.4,,,,,,
May,,,,,1.68,1.36,2.18,1.53,2.26,1.63,3.08,6.63,3.4,0.68,,,,,,
June,,,,,2.93,3.82,1.78,2.66,2,2.7,5.9,4.33,1.65,2.8,,,,,,
July,,,,,2.35,6.81,3.36,2.17,2.52,3.66,1.39,1.63,4,2.5,,,,,,
August,,,,,1.57,0.26,2.83,5.3,2.95,2.31,5.82,1.24,3.5,3.78,,,,,,
September,,,,,0.12,1.3,5.08,3.23,2.82,3.53,2.88,2.46,2.7,5.54,,,,,,
October,,,,,1.66,3.2,2.06,0.59,3.58,5.19,3.28,0.6,3.6,6.54,,,,,,
November,,,,,4.43,0.65,3.1,0.69,1.4,2.86,1.44,4.25,0.69,3.25,,,,,,
December,,,,,3.33,1.99,2.42,1,2.87,3.75,2,0.92,3.71,0.09,,,,,,
Total,,,,,23.4,20.5,29.89,25.65,27.91,35.65,37.59,30.31,31.15,32.25,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is near Gwysaney Hall at the correct altitude. Note sure if this is the same location as that by observer P Davies Cooke but the totals do not match. Interesting Rev Cooke apparently submitted the other records and I think the observers were related.,,,,,,,,,,,,,,,,,,,,
