MAIDSTONE-BEARSTED-GREEN,,,,,,,,,,
Grid ref,TQ799555,Long,0.57752687,Lat,51.270254,Elevation,204,ft,,
Station no,RR8336,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,2.47,1.1,2.48,,
February,,,,,,0.85,0.61,2.27,,
March,,,,,,1.53,3.22,3.94,,
April,,,,,,1.45,0.7,1.61,,
May,,,,,,0.21,0.41,1.37,,
June,,,,,,0.19,4.56,2.31,,
July,,,,,,3.13,2.08,0.29,,
August,,,,,,1.87,3.36,2.51,,
September,,,,,,0.71,5.72,2.61,,
October,,,,,,3.35,5.21,0.42,,
November,,,,,,4.84,1.56,1.37,,
December,,,,,,2.57,3.91,2.84,,
Total,,,,,,23.17,32.44,24.02,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1898 Jan Gauge moved,,,,,,,,,,
