CROYDE-BAGGY-POINT-(OLD-GAUGE),,,,,,,,,,,
Grid ref,SS429398,Long,-4.2457,Lat,51.1359,Elevation,40,ft,,,
Station no,1826,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,5.04,1.39,
February,,,,,,,,,2.67,1.21,
March,,,,,,,,,3.2,0.41,
April,,,,,,,,,1.26,0.74,
May,,,,,,,,,0.81,2.37,
June,,,,,,,,,2.67,1.85,
July,,,,,,,,,1.92,1.77,
August,,,,,,,,,2.36,1.63,
September,,,,,,,,,1.85,0.47,
October,,,,,,,,,4.24,4.81,
November,,,,,,,,,3.14,5.84,
December,,,,,,,,,4.17,5.79,
Total,,,,,,,,,33.33,28.28,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Original 8in gauge,,,,,,,,,,,
,,,,,,,,,,,
1928 Not printed -low,,,,,,,,,,,
1929 Not printed -low,,,,,,,,,,,
1929 Dec gauge terminated,,,,,,,,,,,
