MIDSOMER-NORTON-CE-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST661541,Long,-2.48712,Lat,51.28503,Elevation,310,ft,,,,,,,,,,,,,
Station no,1966,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.74,6.05,2.9,,3.5,3.54,,5.6,5.08,4.3,6.26,
February,,,,,,,,,,,0.87,3.04,0.07,3.77,0.39,2.57,3.15,6.74,0.81,2.37,
March,,,,,,,,,,0.19,1.48,0.96,2.37,3.77,3.47,0.61,3.47,4.57,0.04,1.98,
April,,,,,,,,,,0.94,2.4,2.74,3.88,1.19,4.18,5.17,2.91,2.92,0.07,4.55,
May,,,,,,,,,,2.63,2.13,3.8,5.95,1.94,1.73,1.45,0.87,2.76,2.29,0.94,
June,,,,,,,,,,1.78,0.62,3.44,1.62,1.35,1.67,5.89,2.87,1.95,1.43,3.03,
July,,,,,,,,,,1.51,2.99,4.24,3.77,2.4,1.63,0.38,5.67,3.33,2.64,6.34,
August,,,,,,,,,,,5.19,5,0.99,1.2,3.36,2.34,0.68,0.85,2.44,4.29,
September,,,,,,,,,,0.41,4.66,2.86,4.97,4,3.2,7.1,4.38,2.03,2.79,0.77,
October,,,,,,,,,,6.4,2.72,1.26,6.62,3.75,3.06,5.78,2.97,3.84,8.46,3.75,
November,,,,,,,,,,9.44,5.9,4.03,3.26,1.04,1.84,8.98,4.66,1.84,6.78,10.11,12.38
December,,,,,,,,,,,4.54,0.96,2.92,1.17,10.72,5.85,4.42,2.68,4.02,3.45,
Total,,,,,,,,,,,39.55,35.23,,29.08,38.79,,41.65,38.59,36.07,47.84,
,,,,,,,,,,,,,,,,,,,,,
1929 Feb Aug Dec Estimated,,,,,,,,,,,,,,,,,,,,,
1932 Jan Estimated from surrounding stations,,,,,,,,,,,,,,,,,,,,,
1935 Jan Estimated,,,,,,,,,,,,,,,,,,,,,
1939 Not printed Big,,,,,,,,,,,,,,,,,,,,,
Gauge height above ground varied between 0.8in and 3ft ,,,,,,,,,,,,,,,,,,,,,
1940 May Gauge put at regulation height 1ft off ground,,,,,,,,,,,,,,,,,,,,,
