MIDSOMER NORTON CE SCHOOL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1966,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,1.74,6.05,
February,,,,,,,,,,1.55,0.87,
March,,,,,,,,,,0.19,1.48,
April,,,,,,,,,,0.94,2.40,
May,,,,,,,,,,2.63,2.13,
June,,,,,,,,,,1.78,0.62,
July,,,,,,,,,,1.51,2.99,
August,,,,,,,,,,2.66,5.19,
September,,,,,,,,,,0.41,4.66,
October,,,,,,,,,,6.40,2.72,
November,,,,,,,,,,9.44,5.90,
December,,,,,,,,,,7.73,4.54,
Total,,,,,,,,,,36.98,39.55,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.98,39.55,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,
