CHILLERTON-WW,,,,,,,,,,
Grid ref,SZ490844,Long,-1.30691,Lat,50.65749,Elevation,135,ft,,
Station no,597/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.83,1.51,1.76,4,5.83,2.97,4.59,4.11,4.87
February,,0.8,1.46,3.72,2.04,0.36,5.09,3.3,0.26,2.9
March,,3.98,0.43,4.51,1.14,0.47,2.31,1.28,2.51,2.49
April,,1.59,1.76,0.36,0.79,2.05,0.39,0.55,2.9,1.44
May,,2.46,3.02,2.18,3.44,0.49,0.79,3.07,0.67,2.05
June,,1.34,1.91,2.91,3.77,2.66,1.81,3.32,0.67,1.47
July,,0.46,3.36,5.24,0.2,2.16,4.48,1.76,1.21,3.65
August,,2.3,2.09,3.39,1.36,4.46,2.8,4.7,1.69,5.92
September,,7.1,3.48,3.21,2.23,4.14,4.47,5.36,0.26,7.04
October,,4.16,3.15,3.06,2.21,1.43,2.84,3.74,3.98,8.4
November,,5.07,2.27,6.98,2.55,1.06,3.36,3.79,4.41,6.89
December,,4.22,1.02,3.58,6.29,5.87,3.57,4.9,10,5.84
Total,,36.31,25.46,40.9,30.02,30.98,34.88,40.36,32.67,52.96
,,,,,,,,,,
,,,,,,,,,,
1955 Monthly transcriptions seem right so total adjusted for incorrect calculation,,,,,,,,,,
1960 Inspection found gauge possibly leaking and partly covered. New location behind Pumping Station recommended,,,,,,,,,,
