DUNOON RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS158767,Long,-4.951457,Lat,55.947925,Elevation,245,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,9.34,9.25,12.36,4.88,13.48,8.46,8.72,8.97,6.08,7.26,7.09,8.04,14.14,4.82,8.33,6.03,9.03,19.77,8.14,12.19,9.59,8.07,13.13,15.2,18.96,3.7,8.72
February,,,,,7.09,9.13,6.78,7.51,8.43,6.89,8.23,14.94,6.42,7.89,9.82,9.1,9.59,1.44,10.47,0.23,10.1,3.45,9.49,6.8,2,6.53,11.33,6.63,8.43,3.21,0.64
March,,,,,4.97,9.55,7.45,9.27,9.74,2.04,3.97,3.03,10.47,9.95,9.9,6.04,1.29,3.61,2.64,4.25,7.6,7.83,2.98,4.85,1.54,4.22,9.69,7.35,7.34,2.22,5.07
April,,,,,11.22,5.63,3.42,4.66,3.46,6.78,7.69,7.01,5.55,4.92,6.96,6.17,7.31,3.41,1.65,4.06,3.74,2.79,5.01,5.77,5.16,12.08,2.88,7.57,4,1.98,3.32
May,,,,,5.78,3.29,7.2,7.01,4.07,4.47,4.17,5.66,3.98,5.58,3.69,1.98,6.06,6.55,5.18,1.46,9.83,4.94,6.86,4.13,6.28,11.32,5.29,4.11,2.24,5.83,4.84
June,,,,,3.34,2,1.77,7.92,4.78,3.44,2.58,4.18,11.77,8.08,2.58,3.26,2.68,3.7,2.79,6.05,2.77,0.71,4.34,3.63,5.33,1.92,3.58,7,7.88,4.99,4.36
July,,,,,4.6,4.6,4.66,3.49,6.6,6.97,5.61,5.1,4.69,1.51,3.65,6.82,3.07,2.37,4.17,2.88,4.91,7.54,4.82,8.07,7.07,2.9,5.09,5.29,8.31,6.78,4.67
August,,,,,6.51,8.16,7.36,11.38,6.94,4.46,12.13,7.19,5.67,3.14,8.2,3.12,6.37,7.61,5.62,4.79,7.72,9.46,5.4,10.73,5.95,6.79,7.81,6.79,7.57,9.63,9.38
September,,,,,8.72,3.76,5.1,3.28,13.65,3.4,2.49,4.79,4.63,4.62,5.34,2.58,3.58,7.32,9.69,8.39,6.59,4.6,5.08,15.85,10.08,6.15,7.5,11.75,6.37,1.96,6.85
October,,,,,6.07,7.13,12.29,7.58,2.95,11.74,4.75,5.9,9.43,5.77,4.13,4.67,11.89,16.35,11.41,1.11,3.27,8.14,4.94,13.59,6.08,8.31,11.54,10.88,13.39,10.29,12.7
November,,,,,6.61,7.89,8.52,8.68,7.87,6.33,4.57,11.42,8.56,13.22,10.84,3.82,9.86,17.41,11.99,6.99,10.15,6.44,9.27,9.77,7.82,1.55,11.81,11.93,15.13,11.23,8.17
December,,,,,8.9,8.32,10.65,12.18,10.98,9.26,8.75,13.02,19.56,8.41,10.36,8.77,10.36,5.82,8.88,14.15,7.37,16.62,7.32,9.67,13.21,4.31,7.53,1.85,11.55,14.84,7.24
Total,,,,,83.15,78.71,87.56,87.84,92.95,74.24,73.66,91.21,96.81,80.35,82.56,64.37,86.2,80.41,82.82,60.39,83.08,92.29,73.65,105.05,80.11,74.15,97.18,96.35,111.17,76.66,75.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Jan Interpolation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Apr Jul Interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Ja Mar Nov Dec Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
