"DUNOON RESERVOIR",,,,,,,,,,,,
Grid ref,NS158767,Long,-4.951457,Lat,55.947925,,,,,,,
Station no,5431,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,9.34,9.25,12.36,4.88,13.48,8.46,,
February,,,,,7.09,9.13,6.78,7.51,8.43,6.89,,
March,,,,,4.97,9.55,7.45,9.27,9.74,2.04,,
April,,,,,11.22,5.63,3.42,4.66,3.46,6.78,,
May,,,,,5.78,3.29,7.20,7.01,4.07,4.47,,
June,,,,,3.34,2.00,1.77,7.92,4.78,3.44,,
July,,,,,4.60,4.60,4.66,3.49,6.60,6.97,,
August,,,,,6.51,8.16,7.36,11.38,6.94,4.46,,
September,,,,,8.72,3.76,5.10,3.28,13.65,3.40,,
October,,,,,6.07,7.13,12.29,7.58,2.95,11.74,,
November,,,,,6.61,7.89,8.52,8.68,7.87,6.33,,
December,,,,,8.90,8.32,10.65,12.18,10.98,9.26,,
Total,,,,,83.15,78.71,87.56,87.84,92.95,74.24,,
Calc annual,0.00,0.00,0.00,0.00,83.15,78.71,87.56,87.84,92.95,74.24,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,-0.00,-0.00,,
