CRAIGDDU-GANOL,,,,,,,,,,
Grid ref,SH680300,Long,-3.9616684,Lat,52.851,Elevation,823,ft.,,
Station no,4343/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,11.9,3.4,9.6,7.3,5.1,15.2,8.9,8.1,11.4
February,,4.4,5.9,9.4,4.2,1,7,13.5,4.4,12.5
March,,8,4.9,8.4,4.4,5.2,10.2,1.6,5.6,4.4
April,,4.6,6.5,4.4,8.5,4.3,2.1,3,9.4,3.5
May,,4.6,5.4,6.4,6.1,4,4.5,4.2,2,3.4
June,,8.4,3.6,8.4,11.4,5.1,4.1,6.1,4.4,5.2
July,,6.8,13.4,14.1,3.1,9.3,17,10.2,7.4,8.4
August,,4.8,9.1,11.8,1.7,16.2,12.5,7.5,1.5,7
September,,5.9,7.3,11.4,5.3,7.4,11.9,12.3,1.2,9.4
October,,8.5,7,25.3,5.7,8.3,20,9.2,12.2,5.4
November,,7,16.1,15.6,4.2,5,3.5,1.8,10,21.3
December,8.5,9.1,5.6,12.4,10.1,10.5,8.6,6,18.4,11.2
Total,,84,88.2,137.2,72,81.4,116.6,84.3,84.6,103.1
,,,,,,,,,,
MIDAS src_id 11326 GRAIG DDU GANOL Start 1952 end 2002,,,,,,,,,,
NGR is Craigddu Ganol. NGR on record sheet is in the Irish Sea. Altitude from OS maps.,,,,,,,,,,
