BRIDPORT-SYMONDSBURY-(WEST-RD),,,,,,,,,,,,,,,,,,,,,
Grid ref,SY443928,Long,-2.79008,Lat,50.73215,Elevation,184,ft,,,,,,,,,,,,,
Station no,1595/1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,6.48,3.38,,,,,,,,,
February,,,,,,,,,,,1.24,2.86,,,,,,,,,
March,,,,,,,,,,,1.5,1.28,,,,,,,,,
April,,,,,,,,,,,3.11,2.39,,,,,,,,,
May,,,,,,,,,,2.02,2.04,3.29,,,,,,,,,
June,,,,,,,,,,2.18,0.6,3.23,,,,,,,,,
July,,,,,,,,,,2.28,2.02,3.43,,,,,,,,,
August,,,,,,,,,,2.62,4.12,3.42,,,,,,,,,
September,,,,,,,,,,0.38,5.13,1.99,,,,,,,,,
October,,,,,,,,,,6.25,3.13,0.46,,,,,,,,,
November,,,,,,,,,,10.49,6.89,5.08,,,,,,,,,
December,,,,,,,,,,6.68,,1.11,,,,,,,,,
Total,,,,,,,,,,,,31.92,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Exact location not found but in this area at this alt,,,,,,,,,,,,,,,,,,,,,
1930 Not printed Too big Probably 4in Letter to observer re leak,,,,,,,,,,,,,,,,,,,,,
1930 Dec 20-31 Figures taken from Conegar Bridport owing to observers absence from home,,,,,,,,,,,,,,,,,,,,,
1932 Owing to frequent absences from home unable to continue,,,,,,,,,,,,,,,,,,,,,
