"BIRMINGHAM, CARPENTER RD EDGBASTON",,,,,,,,,,,,,,,,,,,,,
Grid ref,SP060850,Long,-1.9123091,Lat,52.463606,Elevation,480,ft,,,,,,,,,,,,,
Station no,2480,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,2.24,3.24,2.83,5.03,1.4,4.75,2.17,2.41,2,3.14,0.99,3.62,3.57,3,5.59,2.51
February,,,,,,3.22,2.29,2.84,2.5,0.65,0.91,2.56,0.34,3.4,0.3,2.4,2.82,4.04,0.83,1.31,2.67
March,,,,,,1.21,0.7,2.77,2.15,0.18,2.77,0.15,1.87,2.83,2.02,0.64,2.2,2.96,0.4,1.61,1.81
April,,,,,,2.2,2.48,1.6,1.58,0.84,2.81,4.02,3.36,0.74,2.03,3.42,1.9,2.74,0.09,2.03,4.46
May,,,,,,3.15,4.21,1.96,0.47,1.83,1.93,3.96,6.63,2.42,0.95,1.81,0.99,2.54,1.93,1.14,2.4
June,,,,,,0.3,1.44,4.23,2.93,1.66,1.38,3.55,1.5,2.14,1.21,2.52,3.17,0.77,2.06,1.74,0.78
July,,,,,,3.37,1.87,2.96,1.27,1.64,4.39,3.72,2.59,2.21,1.08,0.4,6.06,2.62,2.91,4.15,3.26
August,,,,,,3.13,2.11,3.66,1.9,2.13,3.36,4.53,2.21,0.71,2.21,1.92,0.73,1.17,3.55,2.42,0.22
September,,,,,,3.71,1.04,4.01,0.66,0.87,4.34,2.47,3.38,0.73,2.64,3.84,2.75,1.77,1.87,0.85,0.81
October,,,,,,3.86,2.36,1.77,4.66,4.11,2.97,0.95,3.69,4.59,1.8,3.33,1.63,2.72,2.72,3.35,4.04
November,,,,,,1.74,5.9,3.66,4.07,7.21,3.23,3.91,1.97,0.98,2.02,5.45,2.74,1.57,3.45,4.5,6.58
December,,,,,,2.52,0.46,2.63,1.9,5.51,3.03,1,1.04,0.45,4.69,3.81,2.87,2.41,4.06,1.9,2.05
Total,,,,,,30.65,28.1,34.92,29.12,28.03,35.87,32.99,30.99,23.2,24.09,30.53,31.48,28.88,26.87,30.59,31.59
,,,,,,,,,,,,,,,,,,,,,
NGR based upon distance/direction from church,,,,,,,,,,,,,,,,,,,,,
Note 1925 has elevation of 280' but 1926 onwards as 480'. No mention of gauge move.,,,,,,,,,,,,,,,,,,,,,
