"PETERBOROUGH THORPE HALL",,,,,,,,,,,,
Grid ref,TL170986,Long,-0.275016,Lat,52.572646,,,,,,,
Station no,RR2075,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.79,0.73,0.70,1.36,1.53,1.02,3.17,0.92,0.79,0.70,,
February,3.68,0.84,1.15,0.52,2.43,0.60,1.43,0.96,1.12,0.34,,
March,0.54,1.95,0.94,1.30,1.75,1.75,1.53,0.90,1.68,3.10,,
April,0.81,2.00,1.56,1.68,0.78,1.09,0.57,2.80,2.33,1.30,,
May,1.37,0.38,2.50,3.18,1.85,0.80,1.38,2.87,1.02,0.98,,
June,3.15,2.01,2.10,2.74,0.60,2.29,2.87,1.05,1.05,2.34,,
July,0.95,2.28,1.16,2.68,2.04,0.88,0.68,2.58,2.12,2.79,,
August,2.60,1.76,3.19,3.04,2.03,3.44,1.77,2.36,2.14,1.81,,
September,0.42,0.86,1.30,2.63,1.76,2.02,0.89,0.39,2.49,1.68,,
October,1.75,0.75,1.86,5.00,0.64,1.22,3.54,3.11,1.15,3.22,,
November,1.85,0.99,1.69,1.62,1.16,2.30,3.29,2.14,0.86,0.55,,
December,3.17,3.29,1.32,0.77,1.17,0.50,2.32,2.43,0.99,3.53,,
Total,23.08,17.84,19.47,26.52,17.74,17.91,23.44,22.51,17.74,22.34,,
Calc annual,23.08,17.84,19.47,26.52,17.74,17.91,23.44,22.51,17.74,22.34,,
Difference,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
