"LOUGH ESKE CASTLE",,,,,,,,,,,,
Grid ref,IG9570082200,Long,-8.067444,Lat,54.688007,,,,,,,
Station no,RR2781,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,6.61,6.53,6.25,8.64,6.18,,,,
February,,,,6.45,7.02,5.19,6.39,5.39,,,,
March,,,,8.56,4.35,6.12,6.14,6.62,,,,
April,,,,3.14,5.84,3.73,4.78,4.89,,,,
May,,,,2.84,3.02,1.53,4.82,4.54,,,,
June,,,,1.43,2.04,2.25,2.03,6.27,,,,
July,,,,4.69,5.77,2.85,3.03,3.62,,,,
August,,,,8.88,7.36,6.35,6.49,6.65,,,,
September,,,,4.34,3.27,4.67,3.45,2.57,,,,
October,,,,8.92,4.53,3.67,5.88,6.00,,,,
November,,,,4.04,5.36,5.87,7.25,4.99,,,,
December,,,,5.14,6.82,5.58,9.84,6.56,,,,
Total,,,,65.04,61.91,54.06,68.74,64.28,,,,
Calc annual,0.00,0.00,0.00,65.04,61.91,54.06,68.74,64.28,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
