HEREFORD (SEWAGE WORKS),,,,,,,,,,
Grid ref,SO519388,Long,-2.702757,Lat,52.045495,Elevation,167,ft,,
Station no,2226/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.36,2.11,2.96,3.5,1.14,1.7,4.04,4.7
February,,,1.22,2.11,1.57,0.41,2.65,4.24,0.15,2.45
March,,,0.81,2.39,2.09,0.66,1.55,1.05,2.56,1.85
April,,,2.69,0.2,0.87,1.16,0,0.32,2.65,1.87
May,,,1.32,2.4,4.31,0.36,1.35,2.13,1.38,1.31
June,,1.61,1.31,4.33,3.73,2.4,0.85,2.97,1.89,1.98
July,,1.2,2.36,1.89,1.74,3.98,2.81,3.69,1.32,1.71
August,,5.68,3.39,3.27,0.33,3.59,4.08,1.85,0.98,2.87
September,,1.67,2.15,1.52,1.03,2.83,3.31,6.62,0.17,4.34
October,,3.57,2.33,2.67,1.61,0.81,0.92,2.29,2.35,7
November,,2.69,1.18,5.68,2.95,0.82,2.23,2.74,4.42,4.76
December,,1.93,1.03,2.15,3,3.13,2.62,2.73,5.89,3.37
Total,,,20.15,30.72,26.19,23.65,23.51,32.33,27.8,38.21
