MAUNBY HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE355863,Long,-1.456,Lat,54.271,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959
January,2.62,2.01,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,2.17,0.68,3.18,2.11,0.85,3.06,0.52,3.45,2.46,2.66,2.68,2.89,3.51,1.20,2.09,1.61,2.79,2.47,3.87,2.08,3.60,1.95,1.59,2.09,1.62,2.09,3.37,2.55,2.85,4.85,1.59,2.32,2.31,3.61,1.50,3.37,1.67,2.14,4.90,0.52,1.51,2.11,1.35,0.70,2.14,1.98,4.25,1.99,2.13,2.35
February,1.55,0.74,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,2.11,0.62,1.11,0.81,1.09,2.88,2.75,0.69,1.55,1.27,0.93,0.15,2.25,4.69,1.69,3.18,1.76,1.04,1.48,0.74,1.17,1.47,0.70,5.47,0.46,2.61,2.71,3.66,1.20,1.35,1.88,4.01,1.53,0.60,1.60,2.07,1.14,1.37,0.89,0.88,3.29,2.33,0.39,2.17,2.19,,2.71,2.46,3.74,0.35
March,1.87,0.24,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.20,0.59,1.41,2.32,2.11,1.44,0.95,2.66,1.90,1.04,2.71,2.65,1.03,1.55,0.93,1.53,1.38,0.77,2.65,2.32,0.16,2.26,1.13,1.83,2.12,1.64,0.62,2.28,2.55,0.22,1.82,2.19,1.84,2.52,0.66,0.36,0.48,1.16,3.78,1.30,1.30,0.95,2.91,1.60,0.15,1.71,,1.47,1.52,1.43,1.58
April,3.43,1.24,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,1.97,0.82,0.16,2.98,0.26,0.76,1.06,1.92,0.68,2.13,3.55,1.17,2.86,1.95,1.86,2.80,0.88,1.67,0.67,1.11,2.80,3.96,1.44,0.90,2.88,2.47,1.21,3.12,0.12,1.10,1.30,0.89,1.01,1.01,2.45,0.98,1.93,2.86,1.94,1.95,2.17,1.43,1.42,1.83,0.10,0.94,1.36,0.35,1.06,2.77
May,2.03,3.83,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,2.35,0.83,2.56,1.90,1.10,1.19,2.77,1.56,2.08,1.08,2.37,1.56,1.16,2.25,5.00,3.62,2.28,1.50,1.51,1.38,1.16,3.36,3.99,2.59,1.12,0.85,1.01,2.95,2.93,1.86,0.93,1.36,2.36,2.45,0.72,2.38,1.84,2.27,1.24,1.30,1.26,4.16,1.61,1.45,1.87,2.06,0.48,1.62,3.18,0.65
June,1.30,4.27,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,1.45,2.86,6.14,0.50,2.21,0.95,1.50,1.79,0.86,1.10,0.62,0.53,1.87,0.80,2.70,0.14,3.39,2.41,3.22,1.22,0.98,4.54,1.01,1.13,1.49,2.93,4.25,1.53,2.38,2.42,1.38,0.81,0.71,1.33,2.74,2.56,3.35,2.94,4.64,0.88,0.89,1.19,2.10,2.93,2.36,2.13,3.91,1.85,2.73,1.50
July,2.79,1.05,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,3.62,0.21,3.76,0.61,4.05,3.58,2.22,0.97,3.50,1.89,4.67,1.54,4.17,2.07,3.21,1.93,1.71,4.15,0.36,2.35,6.23,4.47,4.13,1.18,3.50,0.72,3.59,1.15,2.45,3.41,4.37,,2.51,0.93,2.44,1.60,3.77,1.50,0.94,2.35,2.53,3.01,1.38,2.94,1.18,0.96,5.11,4.54,2.36,1.71
August,3.90,4.47,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,2.78,2.33,3.26,1.02,0.79,2.38,1.46,9.00,2.14,2.65,1.55,4.23,2.64,3.68,2.53,2.43,2.65,6.03,4.98,2.27,3.56,3.48,2.17,0.38,1.95,2.02,2.16,1.15,4.69,1.86,0.82,1.84,2.70,2.84,2.33,3.43,4.36,0.26,3.73,2.42,4.17,6.10,3.00,3.12,6.05,1.03,9.73,5.08,3.02,0.93
September,2.30,1.65,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,0.29,2.06,1.26,1.66,1.02,0.42,2.50,0.80,5.51,0.46,1.12,1.25,3.34,2.06,2.24,2.81,1.91,3.99,0.51,0.93,3.47,4.28,1.56,1.38,2.11,4.68,2.63,0.99,1.90,1.17,1.56,0.47,1.32,3.06,4.73,1.80,3.94,1.71,2.08,0.83,3.20,1.69,3.44,1.66,1.99,1.19,3.47,3.41,2.51,0.26
October,2.88,1.63,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40,2.43,2.04,1.93,2.31,1.12,0.69,2.76,2.71,1.81,4.11,2.88,1.20,1.44,2.31,4.12,2.81,2.76,2.40,3.31,2.37,2.29,1.06,3.40,3.58,2.47,3.94,1.31,1.75,3.60,2.95,3.31,3.35,2.45,1.97,2.87,3.18,0.57,0.41,0.67,2.12,0.97,1.63,3.27,1.71,3.83,2.04,0.94,1.98,2.12,1.66
