WORTHING-HEENE,,,,,,,,,,
Grid ref,TQ138027,Long,-0.3860824,Lat,50.812681,Elevation,35,ft,,
Station no,RR7863,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,2.51,2.47,0.74,,,,,,,
February,1.24,0.09,1.34,,,,,,,
March,1.41,1.96,0.83,,,,,,,
April,2.56,0.47,1.22,,,,,,,
May,1.4,1.98,1.3,,,,,,,
June,2.23,1.7,1.78,,,,,,,
July,3.24,3.2,2.1,,,,,,,
August,2.7,4.88,2.5,,,,,,,
September,1.35,1.01,2.32,,,,,,,
October,1.32,6,4.15,,,,,,,
November,2.49,2.93,2.75,,,,,,,
December,0.57,2.86,2.33,,,,,,,
Total,23.02,29.55,23.36,,,,,,,
