DORKING-WEST-STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ164494,Long,-0.334218,Lat,51.231925,Elevation,224,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,4.01,4.77,4.41,5.12,4.19,2.22,3.4,6.87,4.64,1.75,4.11,1.01,6.34,,,,,,,,,,,,,,,,1.85,4.2,1.62,0.68,1.79,0.74,2.52,3.68,1.22,1.02,2.56,4.96,1.31,,,1.45,1.1,2.72,1.73,3.62,4.84,0.85,6.24,0.95,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.39,4.83,1.66,1.67,3.11,3.58,1.72,1.9,2.54,2.47,1.58,3.31,2.03,,,,,,,,,,,,,,,,3.47,1.66,0.14,0.24,2.92,1.25,2.92,4.7,1.91,1.23,1.84,3.1,0.59,,1.08,0.94,0.36,5.31,1.74,2.31,1.22,6.56,7.16,4.32,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.41,2.27,2.53,1.84,1.88,2.09,1.81,2.44,2.13,0.61,0.94,3.38,2.67,,,,,,,,,,,,,,,,0.59,1.63,1.95,2.76,4.55,0.96,0.76,0.79,2.32,1.86,3.54,1.26,3.7,,0.6,3.01,3.39,1.76,1.96,5.99,3.57,5.46,0.62,4.14,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.26,1.8,2.4,2.36,1.34,0.44,4.56,0.95,0.91,2.69,1.2,2.44,2.75,,,,,,,,,,,,,,,,0.07,2.13,1.69,0.47,1.66,1.03,2.54,0.86,2.26,0.95,1.85,1.32,1.3,,3.31,1.93,1.87,1.9,2.36,0.03,3.26,1.38,1.61,1.17,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.6,1.91,1.41,0.84,4.37,1.5,0.65,2.89,1.57,1.82,1.24,1.05,2.75,,,,,,,,,,,,,,,,0.65,1.71,0.43,0.21,1.15,3.07,1.53,1,0.37,2.45,3.33,1.75,0.67,,3.03,2.57,1.58,2.61,1.95,1.38,2.32,2,2.79,2.43,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,2.64,2.67,2.8,0.36,1.19,0.39,2.76,3.02,2.13,2.98,3.62,1.94,1.64,,,,,,,,,,,,,,,,0.77,2.25,0.2,2.62,1.73,1.13,1.34,2.51,1.44,3.95,4.58,0.61,4.01,,1.63,1.82,2.56,1.75,3.1,3.79,0.66,0.4,1.15,1.07,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,2.64,2.75,4.42,4.06,0.74,2.12,3.11,2.96,2.68,2,4.5,0.38,4.06,,,,,,,,,,,,,,,,2.39,3.68,4.08,0.84,1.57,0.72,0.89,0.91,1.74,1.62,3.49,1.04,0.68,,1.58,2.14,3.16,4.35,0.52,1.99,3.44,1.94,4.29,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,5.28,2.4,2.91,2.82,1.3,2.6,1.3,2.1,2.87,2.76,0.93,2.82,2.98,,,,,,,,,,,,,,,,0.79,2.66,1.92,1.68,2.34,0.91,0.84,3.08,1.87,2.82,5.3,1.48,2.47,,2.4,3.91,2.6,3.35,0.64,8.43,2.14,1.72,1.89,3.06,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.19,4.99,2.54,3.32,5.27,1.89,6.18,1.74,3.05,4.05,2.08,3.77,1.42,,,,,,,,,,,,,,,,1.18,1.48,0.6,6.88,2.53,0.65,3.48,1.04,2.31,0.71,3.37,1.12,1.62,,0.37,1.65,2.37,0.84,1.29,3.8,1.94,1.14,1.59,2.13,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,8.34,1.78,2.76,2.86,1.66,4.21,1.19,7.46,3.57,5.41,5.21,1.37,2.32,,,,,,,,,,,,,,,,3.64,3.78,2.37,3.42,0.68,3.5,2.23,1.95,2.79,2.2,7.32,2.13,1.46,,5.34,1.93,4.91,3.65,5.74,3.56,5.07,1.84,2.18,6.27,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,4.6,2.19,0.83,1.69,2.54,2.51,0.59,4.38,2.75,3.39,4.21,2.82,6.49,,,,,,,,,,,,,,,,2.1,4.25,5.11,1.49,1.19,3.35,5.27,2.46,0.57,2.64,2.05,1.19,4.45,,3.36,0.95,0.78,3.86,5.49,2.8,3.62,4.69,2.31,5.1,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,2.46,2.38,1.9,7.12,4.05,3.14,1.88,6,0.38,2.19,1.33,7.82,1.91,,,,,,,,,,,,,,,,3,2.01,2.42,3.94,3.75,3.22,1.23,3.35,5.63,1.4,2.37,2.85,0.56,,3.48,3.18,4.41,6.01,9.47,4.14,2.14,10.02,5.58,4.14,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,36.82,34.74,30.57,34.06,31.64,26.69,29.15,42.71,29.22,32.12,30.95,32.11,37.36,,,,,,,,,,,,,,,,20.5,31.44,22.53,25.23,25.86,20.53,25.55,26.33,24.43,22.85,41.6,22.81,22.82,,,25.48,29.09,38.11,35.99,41.84,34.22,38,37.41,,32.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
