STUBBINS TODMORDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD985271,Long,-2.023,Lat,53.741,Elevation,364,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,2.46,0.7,2.83,3.07,0.31,0.27,0.36,0.55,0.28,7.94,3.19,2.4,3.06,0.55,2,5.85,,,,,,,,,
February,,,,,,1.66,4.82,1.51,1.52,1.22,2.9,1.98,0.02,3.45,2.83,5.49,2.09,3.97,1.1,2.22,1.88,,,,,,,,,
March,,,,,,0.97,0.15,5.98,1.68,0.15,0.72,3.56,1.56,1.19,2.89,3.46,5.21,0.78,1.63,3.22,0,,,,,,,,,
April,,,,,,1.85,1.62,1.36,3.5,4.18,3.67,0.95,1.89,2.8,0.81,1.07,2.55,1.15,1.07,0.74,0.44,,,,,,,,,
May,,,,,,4.35,0.5,1.95,1.35,0.8,3.08,0.39,1.21,0.66,0.72,1.55,0.05,0.56,3.73,0,2.68,,,,,,,,,
June,,,,,,2.3,0.65,1.62,1.36,2.6,5.53,2.22,3.22,4.79,2.01,1.43,3.74,1.87,2.52,2.9,2.23,,,,,,,,,
July,,,,,,0.2,1.22,1.8,6.66,3.59,4.33,1.32,1.23,2.56,3.53,1.09,3.74,2.78,1.42,4.26,4.95,,,,,,,,,
August,,,,,,4.09,1.84,2.86,3.65,8.24,2.61,2.52,2.88,3.22,1.79,1.28,1.5,0.9,4.34,2.76,3,,,,,,,,,
September,,,,,,1.71,2.76,2.25,2.85,3.97,6.47,2.6,0.66,1.85,2.72,4.49,3.05,2.52,0.82,5.47,4.68,,,,,,,,,
October,,,,,,5.42,3.3,5.05,2.67,2.99,0.8,3.5,3.29,3.43,1.55,3.84,4.01,5.36,6,1.84,1.27,,,,,,,,,
November,,,,,,6.2,2.15,3.2,4.3,1.84,5.86,6.12,4.46,4.45,2.75,3.33,7.14,4.8,2.57,4.07,3.46,,,,,,,,,
December,,,,,,3.63,2.85,6.32,7.14,0.47,1.08,3.75,5.13,9.72,1.27,0.62,4.7,4.58,1.88,2.84,0.04,,,,,,,,,
Total,,,,,,34.84,22.56,36.73,39.75,30.36,37.32,29.27,26.1,38.4,30.81,30.84,40.18,32.33,27.63,32.32,30.48,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The third sheet in the pdf has a reference to a note on the sheets for Moss Lock, a gauge on the Rochdale Canal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The note says that the Rochdale Canal gauges were on the roofs of the Lock Keepers' cottages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This suggests that the Stubbins gauge was also somewhere on the Rochdale Canal. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are four locks at Hebden Bridge that include the word 'Stubbing' (note the 'g'), and the altitude also looks correct at around 350ft.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taking a location at Stubbing Upper Lock No 11 where there is a house next to the canal gives the GR above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
