BRIDGE OF WEIR (RANFURLY),,,,,,,,,,,,
Grid ref,NS389653,Long,-4.575180,Lat,55.853903,,,,,,,
Station no,5291/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.07,5.22,3.30,8.16,3.97,3.99,8.76,6.61,2.43,5.36,,
February,3.97,1.81,3.23,5.82,4.14,2.06,4.12,4.07,3.03,5.69,,
March,4.45,5.20,1.44,3.93,2.10,3.41,6.54,1.55,4.00,2.73,,
April,4.41,2.87,2.31,2.53,3.28,1.81,3.51,2.05,4.35,5.87,,
May,2.16,1.77,2.75,3.64,4.22,3.86,2.90,4.52,1.08,2.64,,
June,2.94,4.09,1.69,4.49,3.40,3.18,1.79,4.17,4.28,3.44,,
July,4.94,1.86,8.27,3.05,1.45,5.35,5.98,6.27,5.96,5.47,,
August,6.49,5.86,3.98,6.25,1.40,6.86,5.82,5.76,1.25,3.92,,
September,5.23,4.36,6.87,7.96,5.28,6.67,3.87,5.46,1.58,4.48,,
October,1.44,6.83,4.58,11.37,3.76,4.73,7.57,5.05,7.60,3.26,,
November,7.31,2.22,10.35,9.43,2.45,2.73,2.37,3.21,7.34,8.01,,
December,9.50,5.64,7.11,9.05,10.98,7.91,7.09,7.08,9.95,8.39,,
Total,59.91,47.73,55.88,75.68,46.43,52.56,60.32,55.80,52.85,59.26,,
Calc annual,59.91,47.73,55.88,75.68,46.43,52.56,60.32,55.80,52.85,59.26,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
